board_id,block_id,reg_dt,major,minor,lc1,lc2,lc3,lc4
K001,1,23:02.2,1,1,999,907,115,0
K001,1,23:01.9,1,1,999,899,115,0
K001,1,23:01.6,1,1,999,897,115,0
K001,1,23:01.3,1,1,999,884,115,0
K001,1,23:01.0,1,1,999,838,115,0
K001,1,23:00.7,1,1,999,825,115,0
K001,1,23:00.4,1,1,999,876,115,0
K001,1,23:00.1,1,1,999,914,115,51
K001,1,22:59.8,1,1,999,951,115,0
K001,1,22:59.5,1,1,999,908,115,0
K001,1,22:59.1,1,1,999,836,115,0
K001,1,22:58.8,1,1,999,856,115,0
K001,1,22:58.5,1,1,999,887,115,0
K001,1,22:58.2,1,1,999,927,115,0
K001,1,22:58.0,1,1,999,909,115,0
K001,1,22:57.5,1,1,999,907,115,51
K001,1,22:57.2,1,1,999,939,115,51
K001,1,22:56.9,1,1,999,928,115,51
K001,1,22:56.6,1,1,999,882,115,51
K001,1,22:56.3,1,1,999,913,115,51
K001,1,22:56.0,1,1,999,925,115,51
K001,1,22:55.7,1,1,999,866,115,51
K001,1,22:55.4,1,1,999,778,115,51
K001,1,22:55.1,1,1,999,813,115,52
K001,1,22:54.8,1,1,999,843,115,51
K001,1,22:54.5,1,1,999,892,115,51
K001,1,22:54.2,1,1,999,965,115,51
K001,1,22:53.9,1,1,999,949,115,0
K001,1,22:53.6,1,1,999,895,115,0
K001,1,22:53.3,1,1,999,904,115,51
K001,1,22:53.0,1,1,999,714,115,51
K001,1,22:52.7,1,1,999,999,115,0
K001,1,22:52.5,1,1,999,999,115,0
K001,1,22:52.0,1,1,999,999,115,0
K001,1,22:51.6,1,1,999,999,114,99
K001,1,22:51.3,1,1,999,999,113,201
K001,1,22:51.0,1,1,999,999,112,206
K001,1,22:50.7,1,1,999,999,113,145
K001,1,22:50.4,1,1,999,999,115,0
K001,1,22:50.1,1,1,999,999,115,0
K001,1,22:49.8,1,1,999,999,115,51
K001,1,22:49.5,1,1,999,999,115,52
K001,1,22:49.2,1,1,999,999,115,52
K001,1,22:49.0,1,1,999,999,115,53
K001,1,22:48.8,1,1,999,999,115,52
K001,1,22:48.4,1,1,999,999,115,53
K001,1,22:48.1,1,1,999,797,115,52
K001,1,22:47.9,1,1,999,747,115,51
K001,1,22:47.4,1,1,999,669,115,51
K001,1,22:47.2,1,1,999,653,115,0
K001,1,22:46.9,1,1,999,840,115,0
K001,1,22:46.4,1,1,999,830,115,0
K001,1,22:46.1,1,1,999,812,115,0
K001,1,22:45.9,1,1,999,823,115,0
K001,1,22:45.5,1,1,999,797,115,0
K001,1,22:45.2,1,1,999,769,115,0
K001,1,22:44.9,1,1,999,829,115,0
K001,1,22:44.6,1,1,999,849,115,0
K001,1,22:44.3,1,1,999,849,115,0
K001,1,22:44.0,1,1,999,957,115,0
K001,1,22:43.7,1,1,999,964,115,51
K001,1,22:43.4,1,1,999,995,115,52
K001,1,22:43.1,1,1,999,999,115,52
K001,1,22:42.8,1,1,999,999,115,52
K001,1,22:42.5,1,1,999,999,115,52
K001,1,22:42.2,1,1,999,999,115,53
K001,1,22:41.9,1,1,999,999,115,52
K001,1,22:41.6,1,1,999,999,115,52
K001,1,22:41.3,1,1,999,999,115,52
K001,1,22:41.1,1,1,999,999,115,53
K001,1,22:40.8,1,1,999,999,115,52
K001,1,22:40.3,1,1,999,995,115,52
K001,1,22:39.9,1,1,999,960,115,52
K001,1,22:39.6,1,1,999,936,115,52
K001,1,22:39.3,1,1,999,982,115,52
K001,1,22:39.0,1,1,999,979,115,52
K001,1,22:38.7,1,1,999,923,115,52
K001,1,22:38.4,1,1,999,898,115,52
K001,1,22:38.1,1,1,999,961,115,52
K001,1,22:37.8,1,1,999,999,115,52
K001,1,22:37.5,1,1,999,999,115,53
K001,1,22:37.2,1,1,999,906,115,52
K001,1,22:36.9,1,1,999,893,115,52
K001,1,22:36.7,1,1,999,866,115,52
K001,1,22:36.3,1,1,999,882,115,52
K001,1,22:36.0,1,1,999,943,115,52
K001,1,22:35.6,1,1,999,975,115,52
K001,1,22:35.3,1,1,999,999,115,52
K001,1,22:35.1,1,1,999,999,115,52
K001,1,22:34.7,1,1,999,986,115,52
K001,1,22:34.4,1,1,999,992,115,53
K001,1,22:34.1,1,1,999,999,115,52
K001,1,22:33.8,1,1,999,999,115,53
K001,1,22:33.5,1,1,999,999,115,53
K001,1,22:33.2,1,1,999,993,115,52
K001,1,22:32.8,1,1,999,959,115,53
K001,1,22:32.5,1,1,999,928,115,52
K001,1,22:32.2,1,1,999,929,115,52
K001,1,22:31.9,1,1,999,964,115,53
K001,1,22:31.6,1,1,999,996,115,53
K001,1,22:31.3,1,1,999,999,115,52
K001,1,22:31.0,1,1,999,965,115,52
K001,1,22:30.8,1,1,999,966,115,53
K001,1,22:30.6,1,1,999,984,115,52
K001,1,22:30.1,1,1,999,999,115,52
K001,1,22:29.9,1,1,999,999,115,52
K001,1,22:29.6,1,1,999,999,115,52
K001,1,22:29.2,1,1,999,999,115,52
