board_id,block_id,reg_dt,major,minor,lc1,lc2,lc3,lc4,etc
K001,3,37:40.7,1,3,503,0,999,999,\N
K001,3,37:40.4,1,3,91,0,999,769,\N
K001,3,37:40.1,1,3,100,55,999,0,\N
K001,3,37:39.8,1,3,100,74,999,114,\N
K001,3,37:39.6,1,3,84,999,999,0,\N
K001,3,37:39.2,1,3,97,999,999,58,\N
K001,3,37:38.8,1,3,96,999,999,58,\N
K001,3,37:38.6,1,3,100,999,999,60,\N
K001,3,37:38.2,1,3,99,999,999,0,\N
K001,3,37:37.9,1,3,71,967,999,138,\N
K001,3,37:37.7,1,3,100,52,999,147,\N
K001,3,37:37.3,1,3,100,58,999,185,\N
K001,3,37:37.0,1,3,100,54,999,182,\N
K001,3,37:36.7,1,3,100,54,999,180,\N
K001,3,37:36.4,1,3,100,54,999,181,\N
K001,3,37:36.1,1,3,100,54,999,216,\N
K001,3,37:35.7,1,3,97,405,999,0,\N
K001,3,37:35.4,1,3,101,637,999,62,\N
K001,3,37:35.1,1,3,101,632,999,62,\N
K001,3,37:34.8,1,3,101,999,999,62,\N
K001,3,37:34.5,1,3,100,999,999,61,\N
K001,3,37:34.2,1,3,97,999,999,0,\N
K001,3,37:33.9,1,3,75,999,999,0,\N
K001,3,37:33.6,1,3,100,999,999,62,\N
K001,3,37:33.2,1,3,100,999,999,62,\N
K001,3,37:32.9,1,3,100,645,999,62,\N
K001,3,37:32.6,1,3,100,611,999,62,\N
K001,3,37:32.3,1,3,100,752,999,62,\N
K001,3,37:32.0,1,3,101,916,999,62,\N
K001,3,37:31.7,1,3,100,811,999,62,\N
K001,3,37:31.4,1,3,100,796,999,62,\N
K001,3,37:31.1,1,3,101,793,999,62,\N
K001,3,37:30.8,1,3,100,950,999,62,\N
K001,3,37:30.5,1,3,100,784,999,62,\N
K001,3,37:30.2,1,3,100,988,999,62,\N
K001,3,37:29.9,1,3,100,999,999,62,\N
K001,3,37:29.6,1,3,101,999,999,62,\N
K001,3,37:29.4,1,3,99,999,999,52,\N
K001,3,37:28.9,1,3,88,999,999,0,\N
K001,3,37:28.6,1,3,100,0,999,62,\N
K001,3,37:28.4,1,3,100,52,999,60,\N
K001,3,37:28.1,1,3,101,56,999,63,\N
K001,3,37:28.1,1,3,101,57,999,119,\N
K001,3,37:27.4,1,3,101,52,999,177,\N
K001,3,37:27.1,1,3,101,0,999,78,\N
K001,3,37:26.8,1,3,93,400,999,0,\N
K001,3,37:26.5,1,3,78,719,999,0,\N
K001,3,37:26.2,1,3,87,380,999,89,\N
K001,3,37:25.9,1,3,96,181,999,0,\N
K001,3,37:25.6,1,3,96,142,999,55,\N
K001,3,37:25.2,1,3,94,337,999,0,\N
K001,3,37:24.9,1,3,100,287,999,54,\N
K001,3,37:24.6,1,3,100,53,999,0,\N
K001,3,37:24.3,1,3,101,53,999,62,\N
K001,3,37:24.0,1,3,101,54,999,61,\N
K001,3,37:23.7,1,3,100,0,999,98,\N
K001,3,37:23.4,1,3,101,55,999,241,\N
K001,3,37:23.1,1,3,101,0,999,0,\N
K001,3,37:22.8,1,3,97,0,999,62,\N
K001,3,37:22.5,1,3,98,0,999,0,\N
K001,3,37:22.2,1,3,101,53,999,62,\N
K001,3,37:21.8,1,3,102,53,999,63,\N
K001,3,37:21.6,1,3,101,55,999,62,\N
K001,3,37:21.4,1,3,101,53,999,63,\N
K001,3,37:20.9,1,3,101,54,999,63,\N
K001,3,37:20.6,1,3,101,52,999,63,\N
K001,3,37:20.3,1,3,101,51,999,63,\N
K001,3,37:20.0,1,3,101,51,999,63,\N
K001,3,37:19.7,1,3,101,55,999,63,\N
K001,3,37:19.4,1,3,101,55,999,63,\N
K001,3,37:19.1,1,3,101,55,999,63,\N
K001,3,37:18.7,1,3,101,0,999,63,\N
K001,3,37:18.5,1,3,101,0,999,63,\N
K001,3,37:18.2,1,3,101,0,999,63,\N
K001,3,37:17.8,1,3,102,0,999,63,\N
K001,3,37:17.5,1,3,101,56,999,63,\N
K001,3,37:17.2,1,3,101,57,999,63,\N
K001,3,37:16.9,1,3,101,59,999,63,\N
K001,3,37:16.6,1,3,102,60,999,63,\N
K001,3,37:16.3,1,3,101,63,999,63,\N
K001,3,37:16.0,1,3,102,63,999,63,\N
K001,3,37:15.7,1,3,102,63,999,63,\N
K001,3,37:15.4,1,3,101,60,999,63,\N
K001,3,37:15.0,1,3,102,59,999,63,\N
K001,3,37:14.7,1,3,102,58,999,65,\N
K001,3,37:14.4,1,3,102,58,999,61,\N
K001,3,37:14.1,1,3,102,59,999,0,\N
K001,3,37:13.8,1,3,101,58,999,0,\N
K001,3,37:13.6,1,3,102,58,999,0,\N
K001,3,37:13.1,1,3,102,57,999,0,\N
K001,3,37:12.8,1,3,102,58,999,0,\N
K001,3,37:12.5,1,3,102,58,999,0,\N
K001,3,37:12.2,1,3,102,58,999,87,\N
K001,3,37:11.8,1,3,102,58,999,95,\N
K001,3,37:11.5,1,3,102,57,999,80,\N
K001,3,37:11.2,1,3,102,56,999,0,\N
K001,3,37:10.9,1,3,102,55,999,60,\N
K001,3,37:10.6,1,3,102,57,999,63,\N
K001,3,37:10.2,1,3,102,58,999,63,\N
K001,3,37:09.9,1,3,102,60,999,63,\N
K001,3,37:09.6,1,3,102,59,999,56,\N
K001,3,37:09.3,1,3,102,59,999,54,\N
K001,3,37:09.0,1,3,102,58,999,52,\N
K001,3,37:08.6,1,3,102,57,999,0,\N
K001,3,37:08.3,1,3,102,57,999,0,\N
K001,3,37:08.0,1,3,102,56,999,61,\N
K001,3,37:07.7,1,3,102,56,999,64,\N
K001,3,37:07.4,1,3,102,56,999,0,\N
K001,3,37:07.1,1,3,102,57,999,0,\N
K001,3,37:06.8,1,3,102,57,999,0,\N
K001,3,37:06.5,1,3,102,57,999,0,\N
K001,3,37:06.2,1,3,102,57,999,0,\N
K001,3,37:06.0,1,3,101,54,999,172,\N
K001,3,37:05.6,1,3,102,57,999,145,\N
K001,3,37:05.3,1,3,102,57,999,100,\N
K001,3,37:05.0,1,3,102,56,999,101,\N
K001,3,37:04.7,1,3,102,55,999,138,\N
K001,3,37:04.3,1,3,102,54,999,357,\N
K001,3,37:04.1,1,3,102,55,999,357,\N
K001,3,37:03.8,1,3,102,57,999,331,\N
K001,3,37:03.4,1,3,102,56,999,381,\N
K001,3,37:03.1,1,3,102,55,999,578,\N
K001,3,37:02.8,1,3,102,55,999,541,\N
K001,3,37:02.5,1,3,96,0,999,606,\N
K001,3,37:02.2,1,3,85,212,999,360,\N
K001,3,37:01.9,1,3,82,178,999,503,\N
K001,3,37:01.6,1,3,81,116,999,643,\N
K001,3,37:01.3,1,3,95,0,999,540,\N
K001,3,37:01.0,1,3,98,98,999,116,\N
K001,3,37:00.6,1,3,92,999,999,0,\N
K001,3,37:00.3,1,3,0,999,999,193,\N
K001,3,37:00.0,1,3,0,999,999,190,\N
K001,3,36:59.7,1,3,66,999,999,0,\N
K001,3,36:59.3,1,3,79,999,999,0,\N
K001,3,36:59.0,1,3,0,999,999,111,\N
K001,3,36:58.7,1,3,0,999,999,96,\N
K001,3,36:58.4,1,3,75,999,999,68,\N
K001,3,36:58.1,1,3,93,999,999,0,\N
K001,3,36:57.8,1,3,97,999,999,0,\N
K001,3,36:57.4,1,3,73,999,999,0,\N
K001,3,36:57.1,1,3,52,999,999,77,\N
K001,3,36:56.8,1,3,52,999,999,156,\N
K001,3,36:56.5,1,3,54,934,999,226,\N
K001,3,36:56.2,1,3,82,906,999,91,\N
K001,3,36:55.9,1,3,99,964,999,0,\N
K001,3,36:55.6,1,3,100,999,999,0,\N
K001,3,36:55.3,1,3,98,999,999,0,\N
K001,3,36:55.0,1,3,75,999,999,97,\N
K001,3,36:54.8,1,3,66,781,999,241,\N
K001,3,36:54.3,1,3,0,508,999,680,\N
K001,3,36:54.0,1,3,88,184,999,806,\N
K001,3,36:53.8,1,3,96,0,999,883,\N
K001,3,36:53.5,1,3,101,57,999,724,\N
K001,3,36:53.2,1,3,101,56,999,514,\N
K001,3,36:52.9,1,3,101,56,999,356,\N
K001,3,36:52.6,1,3,101,58,999,328,\N
K001,3,36:52.2,1,3,101,58,999,561,\N
K001,3,36:51.9,1,3,101,58,999,348,\N
K001,3,36:51.6,1,3,101,61,999,212,\N
K001,3,36:51.3,1,3,101,56,999,444,\N
K001,3,36:51.0,1,3,101,55,999,382,\N
K001,3,36:50.7,1,3,102,55,999,323,\N
K001,3,36:50.4,1,3,103,55,999,0,\N
K001,3,36:50.1,1,3,100,375,999,56,\N
K001,3,36:49.8,1,3,103,740,999,64,\N
