"board_id","block_id","reg_dt","major","minor","lc1","lc2","lc3","lc4","etc"
"K001","4","2021-06-28 14:59:13.609000","1","4","0","53","0","0",\N
"K001","4","2021-06-28 14:59:13.292000","1","4","0","54","0","0",\N
"K001","4","2021-06-28 14:59:12.986000","1","4","0","55","0","0",\N
"K001","4","2021-06-28 14:59:12.675000","1","4","0","57","0","0",\N
"K001","4","2021-06-28 14:59:12.364000","1","4","0","58","0","0",\N
"K001","4","2021-06-28 14:59:12.064000","1","4","0","60","0","0",\N
"K001","4","2021-06-28 14:59:11.754000","1","4","0","62","0","0",\N
"K001","4","2021-06-28 14:59:11.474000","1","4","0","63","0","0",\N
"K001","4","2021-06-28 14:59:11.162000","1","4","0","65","0","0",\N
"K001","4","2021-06-28 14:59:10.804000","1","4","0","67","0","0",\N
"K001","4","2021-06-28 14:59:10.502000","1","4","0","69","0","0",\N
"K001","4","2021-06-28 14:59:10.202000","1","4","0","72","0","0",\N
"K001","4","2021-06-28 14:59:09.885000","1","4","0","75","0","0",\N
"K001","4","2021-06-28 14:59:09.576000","1","4","0","79","0","0",\N
"K001","4","2021-06-28 14:59:09.274000","1","4","0","81","0","0",\N
"K001","4","2021-06-28 14:59:08.982000","1","4","0","84","0","0",\N
"K001","4","2021-06-28 14:59:08.672000","1","4","0","89","0","0",\N
"K001","4","2021-06-28 14:59:08.355000","1","4","0","93","0","0",\N
"K001","4","2021-06-28 14:59:08.055000","1","4","0","98","0","0",\N
"K001","4","2021-06-28 14:59:07.745000","1","4","0","104","0","0",\N
"K001","4","2021-06-28 14:59:07.444000","1","4","0","113","0","0",\N
"K001","4","2021-06-28 14:59:07.142000","1","4","0","121","0","0",\N
"K001","4","2021-06-28 14:59:06.842000","1","4","0","131","0","0",\N
"K001","4","2021-06-28 14:59:06.536000","1","4","0","144","0","0",\N
"K001","4","2021-06-28 14:59:06.235000","1","4","0","159","0","0",\N
"K001","4","2021-06-28 14:59:05.932000","1","4","0","178","0","0",\N
"K001","4","2021-06-28 14:59:05.616000","1","4","0","198","0","0",\N
"K001","4","2021-06-28 14:59:05.395000","1","4","0","237","0","0",\N
"K001","4","2021-06-28 14:59:05.072000","1","4","926","999","0","0",\N
"K001","4","2021-06-28 14:59:04.702000","1","4","999","999","79","77",\N
"K001","4","2021-06-28 14:59:04.395000","1","4","999","999","65","0",\N
"K001","4","2021-06-28 14:59:04.075000","1","4","963","999","147","0",\N
"K001","4","2021-06-28 14:59:03.785000","1","4","711","999","80","67",\N
