"no","user_no","board_id","block_id","major","minor","rssi","reg_dt"
"1","1","B003","1","1","9","-64","2021-06-15 02:49:51.129000"
"2","1","B003","3","1","11","-69","2021-06-15 02:49:51.129000"
"3","1","B003","1","1","9","-64","2021-06-15 02:49:51.132000"
"4","1","B003","4","1","12","-77","2021-06-15 02:49:51.129000"
"5","1","B003","1","1","9","-64","2021-06-15 02:49:51.265000"
"6","1","B003","3","1","11","-69","2021-06-15 02:49:51.265000"
"7","1","B003","4","1","12","-75","2021-06-15 02:49:51.265000"
"8","1","B003","1","1","9","-61","2021-06-15 02:49:51.341000"
"9","1","B003","3","1","11","-69","2021-06-15 02:49:51.341000"
"10","1","B003","4","1","12","-76","2021-06-15 02:49:51.341000"
"11","1","B003","1","1","9","-61","2021-06-15 02:49:51.415000"
"12","1","B003","3","1","11","-69","2021-06-15 02:49:51.415000"
"13","1","B003","4","1","12","-76","2021-06-15 02:49:51.415000"
"14","1","B003","1","1","9","-61","2021-06-15 02:49:51.518000"
"15","1","B003","3","1","11","-69","2021-06-15 02:49:51.518000"
"16","1","B003","4","1","12","-76","2021-06-15 02:49:51.518000"
"17","1","B003","1","1","9","-61","2021-06-15 02:49:51.626000"
"18","1","B003","3","1","11","-69","2021-06-15 02:49:51.626000"
"19","1","B003","4","1","12","-76","2021-06-15 02:49:51.626000"
"20","1","B003","1","1","9","-61","2021-06-15 02:49:51.732000"
"21","1","B003","3","1","11","-69","2021-06-15 02:49:51.732000"
"22","1","B003","4","1","12","-76","2021-06-15 02:49:51.732000"
"23","1","B003","1","1","9","-61","2021-06-15 02:49:51.940000"
"24","1","B003","3","1","11","-69","2021-06-15 02:49:51.940000"
"25","1","B003","4","1","12","-76","2021-06-15 02:49:51.940000"
"26","1","B003","1","1","9","-61","2021-06-15 02:49:51.965000"
"27","1","B003","3","1","11","-69","2021-06-15 02:49:51.965000"
"28","1","B003","4","1","12","-76","2021-06-15 02:49:51.965000"
"29","1","B003","1","1","9","-61","2021-06-15 02:49:52.153000"
"30","1","B003","3","1","11","-69","2021-06-15 02:49:52.153000"
"31","1","B003","1","1","9","-61","2021-06-15 02:49:52.172000"
"32","1","B003","4","1","12","-84","2021-06-15 02:49:52.153000"
"33","1","B003","3","1","11","-69","2021-06-15 02:49:52.172000"
"34","1","B003","2","1","10","-59","2021-06-15 02:49:52.153000"
"35","1","B003","4","1","12","-84","2021-06-15 02:49:52.172000"
"36","1","B003","2","1","10","-59","2021-06-15 02:49:52.172000"
"37","1","B003","1","1","9","-62","2021-06-15 02:49:52.321000"
"38","1","B003","3","1","11","-69","2021-06-15 02:49:52.321000"
"39","1","B003","4","1","12","-84","2021-06-15 02:49:52.321000"
"40","1","B003","2","1","10","-59","2021-06-15 02:49:52.321000"
"41","1","B003","1","1","9","-62","2021-06-15 02:49:52.378000"
"42","1","B003","3","1","11","-69","2021-06-15 02:49:52.378000"
"43","1","B003","4","1","12","-84","2021-06-15 02:49:52.378000"
"44","1","B003","2","1","10","-59","2021-06-15 02:49:52.378000"
"45","1","B003","1","1","9","-62","2021-06-15 02:49:52.483000"
"46","1","B003","3","1","11","-69","2021-06-15 02:49:52.483000"
"47","1","B003","4","1","12","-84","2021-06-15 02:49:52.483000"
"48","1","B003","2","1","10","-59","2021-06-15 02:49:52.483000"
"49","1","B003","1","1","9","-62","2021-06-15 02:49:52.683000"
"50","1","B003","3","1","11","-69","2021-06-15 02:49:52.683000"
"51","1","B003","4","1","12","-84","2021-06-15 02:49:52.683000"
"52","1","B003","2","1","10","-59","2021-06-15 02:49:52.683000"
"53","1","B003","1","1","9","-62","2021-06-15 02:49:52.765000"
"54","1","B003","3","1","11","-69","2021-06-15 02:49:52.765000"
"55","1","B003","4","1","12","-84","2021-06-15 02:49:52.765000"
"56","1","B003","2","1","10","-59","2021-06-15 02:49:52.765000"
"57","1","B003","1","1","9","-62","2021-06-15 02:49:52.838000"
"58","1","B003","3","1","11","-69","2021-06-15 02:49:52.838000"
"59","1","B003","4","1","12","-84","2021-06-15 02:49:52.838000"
"60","1","B003","2","1","10","-59","2021-06-15 02:49:52.838000"
"61","1","B003","1","1","9","-66","2021-06-15 02:49:53.020000"
"62","1","B003","1","1","9","-66","2021-06-15 02:49:53.027000"
"63","1","B003","3","1","11","-69","2021-06-15 02:49:53.027000"
"64","1","B003","3","1","11","-69","2021-06-15 02:49:53.020000"
"65","1","B003","4","1","12","-85","2021-06-15 02:49:53.027000"
"66","1","B003","4","1","12","-85","2021-06-15 02:49:53.020000"
"67","1","B003","2","1","10","-58","2021-06-15 02:49:53.027000"
"68","1","B003","2","1","10","-58","2021-06-15 02:49:53.020000"
"69","1","B003","1","1","9","-66","2021-06-15 02:49:53.143000"
"70","1","B003","3","1","11","-69","2021-06-15 02:49:53.143000"
"71","1","B003","4","1","12","-85","2021-06-15 02:49:53.143000"
"72","1","B003","2","1","10","-58","2021-06-15 02:49:53.143000"
"73","1","B003","1","1","9","-66","2021-06-15 02:49:53.282000"
"74","1","B003","3","1","11","-69","2021-06-15 02:49:53.282000"
"75","1","B003","4","1","12","-85","2021-06-15 02:49:53.282000"
"76","1","B003","2","1","10","-58","2021-06-15 02:49:53.282000"
"77","1","B003","1","1","9","-66","2021-06-15 02:49:53.376000"
"78","1","B003","3","1","11","-69","2021-06-15 02:49:53.376000"
"79","1","B003","4","1","12","-85","2021-06-15 02:49:53.376000"
"80","1","B003","2","1","10","-58","2021-06-15 02:49:53.376000"
"81","1","B003","1","1","9","-66","2021-06-15 02:49:53.538000"
"82","1","B003","3","1","11","-69","2021-06-15 02:49:53.538000"
"83","1","B003","4","1","12","-85","2021-06-15 02:49:53.538000"
"84","1","B003","2","1","10","-58","2021-06-15 02:49:53.538000"
"85","1","B003","1","1","9","-66","2021-06-15 02:49:53.624000"
"86","1","B003","3","1","11","-69","2021-06-15 02:49:53.624000"
"87","1","B003","4","1","12","-85","2021-06-15 02:49:53.624000"
"88","1","B003","2","1","10","-58","2021-06-15 02:49:53.624000"
"89","1","B003","1","1","9","-66","2021-06-15 02:49:53.677000"
"90","1","B003","3","1","11","-69","2021-06-15 02:49:53.677000"
"91","1","B003","4","1","12","-85","2021-06-15 02:49:53.677000"
"92","1","B003","2","1","10","-58","2021-06-15 02:49:53.677000"
"93","1","B003","1","1","9","-66","2021-06-15 02:49:53.796000"
"94","1","B003","3","1","11","-69","2021-06-15 02:49:53.796000"
"95","1","B003","4","1","12","-85","2021-06-15 02:49:53.796000"
"96","1","B003","2","1","10","-58","2021-06-15 02:49:53.796000"
"97","1","B003","1","1","9","-88","2021-06-15 02:49:54.062000"
"98","1","B003","1","1","9","-88","2021-06-15 02:49:54.062000"
"99","1","B003","3","1","11","-91","2021-06-15 02:49:54.062000"
"100","1","B003","3","1","11","-91","2021-06-15 02:49:54.062000"
"101","1","B003","4","1","12","-85","2021-06-15 02:49:54.062000"
"102","1","B003","2","1","10","-78","2021-06-15 02:49:54.062000"
"103","1","B003","4","1","12","-85","2021-06-15 02:49:54.062000"
"104","1","B003","2","1","10","-78","2021-06-15 02:49:54.062000"
"105","1","B003","1","1","9","-86","2021-06-15 02:49:54.474000"
"106","1","B003","1","1","9","-86","2021-06-15 02:49:54.478000"
"107","1","B003","3","1","11","-90","2021-06-15 02:49:54.474000"
"108","1","B003","3","1","11","-90","2021-06-15 02:49:54.478000"
"109","1","B003","4","1","12","-100","2021-06-15 02:49:54.474000"
"110","1","B003","4","1","12","-100","2021-06-15 02:49:54.478000"
"111","1","B003","2","1","10","-84","2021-06-15 02:49:54.474000"
"112","1","B003","2","1","10","-84","2021-06-15 02:49:54.478000"
"113","1","B003","1","1","9","-66","2021-06-15 02:49:54.607000"
"114","1","B003","3","1","11","-67","2021-06-15 02:49:54.607000"
"115","1","B003","4","1","12","-100","2021-06-15 02:49:54.607000"
"116","1","B003","2","1","10","-64","2021-06-15 02:49:54.607000"
"117","1","B003","1","1","9","-61","2021-06-15 02:49:54.662000"
"118","1","B003","3","1","11","-67","2021-06-15 02:49:54.662000"
"119","1","B003","4","1","12","-100","2021-06-15 02:49:54.662000"
"120","1","B003","2","1","10","-64","2021-06-15 02:49:54.662000"
"121","1","B003","1","1","9","-85","2021-06-15 02:49:54.902000"
"122","1","B003","1","1","9","-85","2021-06-15 02:49:54.904000"
"123","1","B003","3","1","11","-91","2021-06-15 02:49:54.902000"
"124","1","B003","4","1","12","-100","2021-06-15 02:49:54.902000"
"125","1","B003","3","1","11","-91","2021-06-15 02:49:54.904000"
"126","1","B003","2","1","10","-84","2021-06-15 02:49:54.902000"
"127","1","B003","4","1","12","-100","2021-06-15 02:49:54.904000"
"128","1","B003","2","1","10","-84","2021-06-15 02:49:54.904000"
"129","1","B003","1","1","9","-88","2021-06-15 02:49:55.211000"
"130","1","B003","1","1","9","-88","2021-06-15 02:49:55.213000"
"131","1","B003","3","1","11","-92","2021-06-15 02:49:55.211000"
"132","1","B003","4","1","12","-100","2021-06-15 02:49:55.211000"
"133","1","B003","3","1","11","-92","2021-06-15 02:49:55.213000"
"134","1","B003","2","1","10","-78","2021-06-15 02:49:55.211000"
"135","1","B003","4","1","12","-100","2021-06-15 02:49:55.213000"
"136","1","B003","2","1","10","-78","2021-06-15 02:49:55.213000"
"137","1","B003","1","1","9","-66","2021-06-15 02:49:55.550000"
"138","1","B003","1","1","9","-66","2021-06-15 02:49:55.573000"
"139","1","B003","3","1","11","-69","2021-06-15 02:49:55.573000"
"140","1","B003","3","1","11","-69","2021-06-15 02:49:55.550000"
"141","1","B003","4","1","12","-76","2021-06-15 02:49:55.573000"
"142","1","B003","4","1","12","-76","2021-06-15 02:49:55.550000"
