board_id,block_id,reg_dt,major,minor,lc1,lc2,lc3,lc4,avg
K002,3,13:08.4,1,7,0,0,0,52,13
K002,1,13:08.4,1,5,53,0,0,0,13.25
K002,3,13:08.1,1,7,0,0,0,51,12.75
K002,1,13:08.1,1,5,53,0,0,0,13.25
K002,3,13:07.8,1,7,0,0,0,51,12.75
K002,1,13:07.8,1,5,52,0,0,0,13
K002,3,13:07.5,1,7,0,0,0,51,12.75
K002,1,13:07.5,1,5,52,0,0,0,13
K002,3,13:07.2,1,7,0,0,0,51,12.75
K002,1,13:07.2,1,5,53,0,0,0,13.25
K002,3,13:06.9,1,7,0,0,0,51,12.75
K002,1,13:06.9,1,5,53,0,0,0,13.25
K002,3,13:06.6,1,7,0,0,0,51,12.75
K002,1,13:06.6,1,5,53,0,0,0,13.25
K002,3,13:06.3,1,7,0,0,0,51,12.75
K002,1,13:06.3,1,5,53,0,0,0,13.25
K002,3,13:06.0,1,7,0,0,0,51,12.75
K002,1,13:06.0,1,5,52,0,0,0,13
K002,3,13:05.7,1,7,0,0,0,51,12.75
K002,1,13:05.7,1,5,53,0,0,0,13.25
K002,3,13:05.4,1,7,0,0,0,51,12.75
K002,1,13:05.4,1,5,53,0,0,0,13.25
K002,1,13:05.1,1,5,53,0,0,0,13.25
K002,1,13:04.8,1,5,52,0,0,0,13
K002,1,13:04.5,1,5,53,0,0,0,13.25
K002,1,13:04.2,1,5,52,0,0,0,13
K002,1,13:03.9,1,5,53,0,0,0,13.25
K002,1,13:03.5,1,5,53,0,0,0,13.25
K002,1,13:03.2,1,5,53,0,0,0,13.25
K002,1,13:02.9,1,5,53,0,0,0,13.25
K002,1,13:02.6,1,5,53,0,0,0,13.25
K002,1,13:02.3,1,5,53,0,0,0,13.25
K002,1,13:02.0,1,5,52,0,0,0,13
K002,1,13:01.7,1,5,52,0,0,0,13
K002,1,13:01.4,1,5,53,0,0,0,13.25
K002,1,13:01.1,1,5,53,0,0,0,13.25
K002,1,13:00.8,1,5,53,0,0,0,13.25
K002,1,13:00.5,1,5,52,0,0,0,13
K002,1,13:00.2,1,5,52,0,0,0,13
K002,1,12:59.9,1,5,52,0,0,0,13
K002,1,12:59.6,1,5,53,0,0,0,13.25
K002,1,12:59.3,1,5,53,0,0,0,13.25
K002,1,12:59.0,1,5,53,0,0,0,13.25
K002,1,12:58.7,1,5,53,0,0,0,13.25
K002,1,12:58.4,1,5,53,0,0,0,13.25
K002,1,12:58.1,1,5,53,0,0,0,13.25
K002,1,12:57.8,1,5,52,0,0,0,13
K002,1,12:57.5,1,5,52,0,0,0,13
K002,1,12:57.1,1,5,53,0,0,0,13.25
K002,1,12:56.8,1,5,53,0,0,0,13.25
K002,1,12:56.6,1,5,53,0,0,0,13.25
K002,1,12:56.2,1,5,53,0,0,0,13.25
K002,1,12:55.9,1,5,53,0,0,0,13.25
K002,1,12:55.6,1,5,53,0,0,0,13.25
K002,1,12:55.3,1,5,53,0,0,0,13.25
K002,1,12:55.0,1,5,53,0,0,0,13.25
K002,1,12:54.7,1,5,53,0,0,0,13.25
K002,1,12:54.4,1,5,53,0,0,0,13.25
K002,1,12:54.1,1,5,53,0,0,0,13.25
K002,1,12:53.8,1,5,53,0,0,0,13.25
