TIME,Base,Minor,Rssi
2021-08-03 15:58:13.209,39,37,-49.0
2021-08-03 15:58:13.411,39,35,-47.0
2021-08-03 15:58:13.612,39,35,-49.0
2021-08-03 15:58:13.814,39,60,-47.0
2021-08-03 15:58:14.017,39,35,-47.0
2021-08-03 15:58:14.221,39,35,-49.0
2021-08-03 15:58:14.426,39,35,-49.0
2021-08-03 15:58:14.631,39,35,-49.0
2021-08-03 15:58:14.834,39,60,-48.0
2021-08-03 15:58:15.037,39,60,-48.0
2021-08-03 15:58:15.239,39,37,-49.0
2021-08-03 15:58:15.443,39,60,-48.0
2021-08-03 15:58:15.646,39,60,-48.0
2021-08-03 15:58:15.849,39,60,-48.0
2021-08-03 15:58:16.052,39,35,-49.0
2021-08-03 15:58:16.255,39,35,-49.0
2021-08-03 15:58:16.458,39,37,-51.0
2021-08-03 15:58:16.661,39,35,-49.0
2021-08-03 15:58:16.863,39,35,-48.0
2021-08-03 15:58:17.066,39,35,-48.0
2021-08-03 15:58:17.270,39,35,-48.0
2021-08-03 15:58:17.473,39,35,-49.0
2021-08-03 15:58:17.676,39,60,-48.0
2021-08-03 15:58:17.880,39,60,-48.0
2021-08-03 15:58:18.083,39,60,-48.0
2021-08-03 15:58:18.286,39,35,-48.0
2021-08-03 15:58:18.490,39,35,-49.0
2021-08-03 15:58:18.693,39,35,-49.0
2021-08-03 15:58:18.896,39,35,-49.0
2021-08-03 15:58:19.100,39,35,-48.0
2021-08-03 15:58:19.303,39,60,-49.0
2021-08-03 15:58:19.507,39,56,-54.0
2021-08-03 15:58:19.711,39,37,-51.0
2021-08-03 15:58:19.913,39,37,-51.0
2021-08-03 15:58:20.121,39,35,-49.0
2021-08-03 15:58:20.325,39,35,-49.0
2021-08-03 15:58:20.528,39,35,-49.0
2021-08-03 15:58:20.730,39,35,-49.0
2021-08-03 15:58:20.937,39,35,-48.0
2021-08-03 15:58:21.154,39,35,-49.0
2021-08-03 15:58:21.357,39,35,-49.0
2021-08-03 15:58:21.560,39,35,-49.0
2021-08-03 15:58:21.763,39,35,-49.0
2021-08-03 15:58:21.967,39,38,-50.0
2021-08-03 15:58:22.169,39,38,-50.0
2021-08-03 15:58:22.372,39,35,-49.0
2021-08-03 15:58:22.576,39,35,-49.0
2021-08-03 15:58:22.779,39,35,-49.0
2021-08-03 15:58:22.981,39,35,-49.0
2021-08-03 15:58:23.184,39,35,-49.0
2021-08-03 15:58:23.387,39,37,-50.0
2021-08-03 15:58:23.589,39,35,-49.0
2021-08-03 15:58:23.792,39,35,-49.0
2021-08-03 15:58:23.996,39,35,-49.0
2021-08-03 15:58:24.198,39,38,-50.0
2021-08-03 15:58:24.407,39,37,-49.0
2021-08-03 15:58:24.610,39,35,-49.0
2021-08-03 15:58:24.814,39,35,-49.0
2021-08-03 15:58:25.018,39,37,-48.0
2021-08-03 15:58:25.220,39,60,-49.0
2021-08-03 15:58:25.422,39,37,-49.0
2021-08-03 15:58:25.626,39,35,-49.0
2021-08-03 15:58:25.829,39,35,-49.0
2021-08-03 15:58:26.033,39,37,-49.0
2021-08-03 15:58:26.236,39,35,-49.0
2021-08-03 15:58:26.440,39,35,-49.0
2021-08-03 15:58:26.650,39,35,-49.0
2021-08-03 15:58:26.858,39,35,-49.0
2021-08-03 15:58:27.064,39,39,-55.0
2021-08-03 15:58:27.267,39,37,-49.0
2021-08-03 15:58:27.471,39,35,-49.0
2021-08-03 15:58:27.675,39,37,-49.0
2021-08-03 15:58:27.879,39,35,-48.0
2021-08-03 15:58:28.083,39,35,-49.0
2021-08-03 15:58:28.286,39,35,-48.0
2021-08-03 15:58:28.489,39,35,-48.0
2021-08-03 15:58:28.690,39,60,-49.0
2021-08-03 15:58:28.894,39,60,-49.0
2021-08-03 15:58:29.097,39,60,-49.0
2021-08-03 15:58:29.304,39,35,-48.0
2021-08-03 15:58:29.508,39,60,-49.0
2021-08-03 15:58:29.711,39,36,-54.0
2021-08-03 15:58:29.913,39,38,-52.0
2021-08-03 15:58:30.116,39,37,-51.0
2021-08-03 15:58:30.319,39,60,-48.0
2021-08-03 15:58:30.523,39,38,-52.0
2021-08-03 15:58:30.725,39,35,-48.0
2021-08-03 15:58:30.928,39,35,-48.0
2021-08-03 15:58:31.132,39,60,-48.0
2021-08-03 15:58:31.335,39,37,-49.0
2021-08-03 15:58:31.540,39,60,-47.0
2021-08-03 15:58:31.742,39,60,-49.0
2021-08-03 15:58:31.945,39,35,-49.0
2021-08-03 15:58:32.150,39,35,-49.0
2021-08-03 15:58:32.352,39,35,-48.0
2021-08-03 15:58:32.556,39,38,-50.0
2021-08-03 15:58:32.759,39,35,-48.0
2021-08-03 15:58:32.962,39,35,-49.0
2021-08-03 15:58:33.179,39,35,-49.0
2021-08-03 15:58:33.384,39,35,-49.0
2021-08-03 15:58:33.587,39,35,-49.0
