TIME,Base,Minor,Rssi,,,,,Base,25
29:45.9,25,54,-75,,,59,60,39,40
29:45.9,25,38,-73,,,-69.46,-68.17,-74.28,-72
29:45.9,25,59,-68,,,58,57,38,37
29:45.9,25,42,-64,,,-75.88,-71.74,-72.2,-65.16
29:45.9,25,41,-67,,,55,56,35,36
29:45.9,25,63,-69,,,-73.92,-69.18,-72.75,-68.5
29:45.9,25,61,-64,,,54,53,34,33
29:45.9,25,28,-55,,,-67.68,-69.12,-70.19,-69.04
29:45.9,25,27,-51,,,51,52,31,32
29:45.9,25,29,-62,,,-68.54,-72.04,-69.11,-67.85
29:45.9,25,24,-51,,,50,49,30,29
29:45.9,25,45,-60,,,-68.67,-65.12,-66.21,-59.35
29:45.9,25,26,-69,,,47,48,27,28
29:45.9,25,47,-65,,,-61.66,-62.19,-53.09,-58.08
29:46.0,25,31,-63,,,46,45,26,25
29:46.0,25,30,-65,,,-69.34,-60.74,-59.05,-52.65
29:46.0,25,32,-61,,,43,44,23,24
29:46.0,25,54,-69,,,-69.73,-64.63,-66.95,-55.38
29:46.0,25,59,-67,,,42,41,22,21
29:46.0,25,63,-70,,,-66.76,-63.77,-59.82,-55.37
29:46.0,25,21,-53,,,,,,
29:46.0,25,28,-57,,,,,,
29:46.0,25,29,-63,,,,,,
29:46.1,25,31,-65,,,,,,
29:46.1,25,32,-60,,,,,,
29:46.1,25,54,-66,,,,,,
29:46.1,25,38,-72,,,,,,
29:46.1,25,59,-69,,,,,,
29:46.1,25,41,-65,,,,,,
29:46.1,25,21,-52,,,,,,
29:46.1,25,43,-68,,,,,,
29:46.1,25,28,-57,,,,,,
29:46.1,25,27,-55,,,,,,
29:46.1,25,24,-51,,,,,,
29:46.1,25,23,-60,,,,,,
29:46.1,25,48,-57,,,,,,
29:46.2,25,30,-69,,,,,,
29:46.2,25,32,-60,,,,,,
29:46.2,25,54,-66,,,,,,
29:46.2,25,64,-67,,,,,,
29:46.2,25,41,-66,,,,,,
29:46.2,25,63,-73,,,,,,
29:46.2,25,28,-55,,,,,,
29:46.2,25,27,-52,,,,,,
29:46.2,25,29,-61,,,,,,
29:46.2,25,23,-63,,,,,,
29:46.2,25,48,-59,,,,,,
29:46.3,25,53,-67,,,,,,
29:46.3,25,31,-63,,,,,,
29:46.3,25,30,-69,,,,,,
29:46.3,25,54,-67,,,,,,
29:46.3,25,39,-71,,,,,,
29:46.3,25,41,-64,,,,,,
29:46.3,25,63,-76,,,,,,
29:46.3,25,21,-57,,,,,,
29:46.3,25,60,-65,,,,,,
29:46.3,25,28,-53,,,,,,
29:46.3,25,27,-51,,,,,,
29:46.3,25,45,-57,,,,,,
29:46.3,25,48,-58,,,,,,
29:46.4,25,31,-63,,,,,,
29:46.4,25,32,-66,,,,,,
29:46.4,25,54,-66,,,,,,
29:46.4,25,63,-68,,,,,,
29:46.4,25,22,-58,,,,,,
29:46.4,25,62,-66,,,,,,
29:46.4,25,40,-67,,,,,,
29:46.4,25,28,-56,,,,,,
29:46.4,25,27,-55,,,,,,
29:46.4,25,29,-55,,,,,,
29:46.4,25,45,-60,,,,,,
29:46.4,25,48,-60,,,,,,
29:46.4,25,26,-61,,,,,,
29:46.5,25,53,-66,,,,,,
29:46.5,25,30,-64,,,,,,
29:46.5,25,33,-68,,,,,,
29:46.5,25,35,-66,,,,,,
29:46.5,25,36,-68,,,,,,
29:46.5,25,41,-64,,,,,,
29:46.5,25,63,-66,,,,,,
29:46.5,25,43,-66,,,,,,
29:46.5,25,60,-68,,,,,,
29:46.5,25,27,-54,,,,,,
29:46.5,25,24,-52,,,,,,
29:46.5,25,48,-60,,,,,,
29:46.6,25,32,-64,,,,,,
29:46.6,25,39,-81,,,,,,
29:46.6,25,59,-69,,,,,,
29:46.6,25,36,-67,,,,,,
29:46.6,25,41,-61,,,,,,
29:46.6,25,27,-53,,,,,,
29:46.6,25,29,-57,,,,,,
29:46.6,25,24,-51,,,,,,
29:46.6,25,26,-60,,,,,,
29:46.6,25,47,-68,,,,,,
29:46.6,25,25,-49,,,,,,
29:46.7,25,31,-60,,,,,,
29:46.7,25,30,-63,,,,,,
29:46.7,25,33,-66,,,,,,
29:46.7,25,32,-64,,,,,,
29:46.7,25,39,-73,,,,,,
29:46.7,25,56,-71,,,,,,
29:46.7,25,37,-66,,,,,,
29:46.7,25,41,-59,,,,,,
29:46.7,25,21,-52,,,,,,
29:46.7,25,62,-65,,,,,,
