TIME,Base,Minor,Rssi
13:39.3,24,53,-67
13:39.3,24,52,-75
13:39.3,24,30,-66
13:39.3,24,33,-70
13:39.3,24,54,-73
13:39.3,24,51,-67
13:39.3,24,50,-69
13:39.3,24,39,-73
13:39.3,24,35,-64
13:39.3,24,34,-76
13:39.3,24,56,-68
13:39.3,24,37,-69
13:39.3,24,59,-75
13:39.3,24,42,-62
13:39.3,24,41,-60
13:39.3,24,21,-57
13:39.3,24,43,-62
13:39.3,24,60,-68
13:39.3,24,27,-55
13:39.3,24,29,-57
13:39.3,24,23,-51
13:39.3,24,45,-56
13:39.3,24,26,-48
13:39.3,24,25,-47
13:39.3,24,47,-56
13:39.5,24,31,-64
13:39.5,24,30,-66
13:39.5,24,32,-75
13:39.5,24,50,-73
13:39.5,24,39,-69
13:39.5,24,35,-63
13:39.5,24,56,-78
13:39.5,24,37,-73
13:39.5,24,36,-76
13:39.5,24,42,-63
13:39.5,24,41,-63
13:39.5,24,22,-67
13:39.5,24,21,-56
13:39.5,24,43,-62
13:39.5,24,40,-80
13:39.5,24,28,-67
13:39.5,24,27,-55
13:39.5,24,47,-56
13:39.7,24,31,-64
13:39.7,24,52,-76
13:39.7,24,30,-67
13:39.7,24,54,-80
13:39.7,24,51,-67
13:39.7,24,50,-81
13:39.7,24,39,-68
13:39.7,24,35,-65
13:39.7,24,57,-78
13:39.7,24,34,-79
13:39.7,24,37,-69
13:39.7,24,58,-67
13:39.7,24,41,-68
13:39.7,24,22,-62
13:39.7,24,21,-56
13:39.7,24,40,-79
13:39.7,24,28,-72
13:39.7,24,49,-60
13:39.7,24,27,-55
13:39.7,24,23,-53
13:39.7,24,45,-58
13:39.7,24,26,-49
13:39.7,24,48,-66
13:39.9,24,31,-63
13:39.9,24,52,-77
13:39.9,24,30,-69
13:39.9,24,51,-67
13:39.9,24,38,-83
13:39.9,24,37,-75
13:39.9,24,36,-71
13:39.9,24,58,-68
13:39.9,24,41,-62
13:39.9,24,22,-66
13:39.9,24,44,-69
13:39.9,24,21,-55
13:39.9,24,60,-75
13:39.9,24,27,-56
13:39.9,24,29,-57
13:39.9,24,24,-52
13:39.9,24,23,-54
13:39.9,24,26,-49
13:40.1,24,31,-64
13:40.1,24,52,-70
13:40.1,24,30,-66
13:40.1,24,33,-80
13:40.1,24,54,-77
13:40.1,24,51,-68
13:40.1,24,35,-62
13:40.1,24,58,-66
13:40.1,24,21,-53
13:40.1,24,43,-63
13:40.1,24,60,-73
13:40.1,24,40,-68
13:40.1,24,49,-60
13:40.1,24,29,-57
13:40.1,24,24,-52
13:40.1,24,23,-53
13:40.1,24,45,-58
13:40.1,24,26,-49
13:40.1,24,25,-47
13:40.3,24,31,-65
13:40.3,24,53,-68
13:40.3,24,55,-67
13:40.3,24,33,-80
13:40.3,24,51,-67
13:40.3,24,37,-72
13:40.3,24,58,-69
13:40.3,24,41,-60
13:40.3,24,22,-67
13:40.3,24,44,-68
13:40.3,24,40,-75
13:40.3,24,28,-74
13:40.3,24,27,-55
13:40.3,24,29,-57
13:40.3,24,24,-52
13:40.3,24,23,-53
13:40.3,24,26,-50
13:40.3,24,48,-64
13:40.3,24,47,-55
13:40.5,24,31,-64
13:40.5,24,53,-68
13:40.5,24,52,-74
13:40.5,24,30,-66
13:40.5,24,50,-77
13:40.5,24,39,-70
13:40.5,24,38,-81
13:40.5,24,57,-76
13:40.5,24,22,-64
13:40.5,24,43,-63
13:40.5,24,60,-69
13:40.5,24,28,-80
13:40.5,24,49,-60
13:40.5,24,27,-56
13:40.5,24,46,-67
13:40.5,24,24,-53
13:40.5,24,23,-53
13:40.5,24,45,-57
13:40.5,24,26,-49
13:40.5,24,48,-65
13:40.5,24,25,-47
13:40.5,24,47,-56
13:40.7,24,31,-64
13:40.7,24,52,-74
13:40.7,24,30,-67
13:40.7,24,55,-68
13:40.7,24,39,-70
13:40.7,24,57,-75
13:40.7,24,34,-75
13:40.7,24,56,-67
13:40.7,24,59,-76
13:40.7,24,42,-65
13:40.7,24,22,-64
13:40.7,24,21,-52
13:40.7,24,43,-63
13:40.7,24,28,-74
13:40.7,24,49,-60
13:40.7,24,27,-55
13:40.7,24,29,-57
13:40.7,24,45,-58
13:40.7,24,26,-49
13:40.7,24,48,-66
13:40.7,24,25,-47
13:40.7,24,47,-56
13:40.9,24,31,-62
13:40.9,24,52,-72
13:40.9,24,32,-75
13:40.9,24,38,-79
13:40.9,24,35,-65
13:40.9,24,56,-67
13:40.9,24,42,-64
13:40.9,24,21,-52
13:40.9,24,40,-71
13:40.9,24,49,-60
13:40.9,24,27,-55
13:40.9,24,46,-70
13:40.9,24,24,-52
13:40.9,24,26,-49
13:40.9,24,48,-66
13:40.9,24,25,-47
13:40.9,24,47,-57
13:41.2,24,31,-63
13:41.2,24,52,-73
13:41.2,24,55,-68
13:41.2,24,33,-73
13:41.2,24,32,-77
13:41.2,24,51,-67
13:41.2,24,50,-71
13:41.2,24,39,-72
13:41.2,24,57,-78
13:41.2,24,59,-82
13:41.2,24,36,-71
13:41.2,24,58,-68
13:41.2,24,42,-63
13:41.2,24,41,-61
13:41.2,24,44,-66
13:41.2,24,21,-52
13:41.2,24,27,-56
13:41.2,24,29,-57
13:41.2,24,46,-69
13:41.2,24,24,-52
13:41.2,24,26,-49
13:41.2,24,25,-47
13:41.2,24,47,-56
13:41.4,24,31,-63
13:41.4,24,53,-68
13:41.4,24,30,-65
13:41.4,24,55,-68
13:41.4,24,33,-76
13:41.4,24,32,-72
13:41.4,24,54,-68
13:41.4,24,39,-69
13:41.4,24,38,-78
13:41.4,24,34,-77
13:41.4,24,56,-69
13:41.4,24,59,-75
13:41.4,24,41,-59
13:41.4,24,44,-67
13:41.4,24,21,-51
13:41.4,24,43,-63
13:41.4,24,60,-69
13:41.4,24,46,-68
13:41.4,24,24,-52
13:41.4,24,23,-53
13:41.4,24,45,-58
13:41.4,24,25,-47
13:41.6,24,31,-68
13:41.6,24,53,-72
13:41.6,24,52,-69
13:41.6,24,30,-60
13:41.6,24,55,-67
13:41.6,24,51,-69
13:41.6,24,50,-68
13:41.6,24,59,-64
13:41.6,24,41,-57
13:41.6,24,22,-58
13:41.6,24,44,-60
13:41.6,24,21,-59
13:41.6,24,43,-62
13:41.6,24,28,-62
13:41.6,24,49,-67
13:41.6,24,27,-56
13:41.6,24,29,-63
13:41.6,24,24,-54
13:41.6,24,23,-56
13:41.6,24,45,-60
13:41.6,24,26,-52
13:41.6,24,48,-68
13:41.6,24,25,-50
13:41.6,24,47,-61
13:41.8,24,31,-68
13:41.8,24,52,-69
13:41.8,24,55,-66
13:41.8,24,33,-66
13:41.8,24,32,-82
13:41.8,24,51,-71
13:41.8,24,50,-70
13:41.8,24,39,-70
13:41.8,24,57,-67
13:41.8,24,34,-66
13:41.8,24,59,-65
13:41.8,24,41,-58
13:41.8,24,22,-59
13:41.8,24,44,-60
13:41.8,24,43,-64
13:41.8,24,28,-62
13:41.8,24,49,-68
13:41.8,24,24,-56
13:41.8,24,26,-52
13:41.8,24,48,-65
13:41.8,24,25,-50
13:42.0,24,31,-68
13:42.0,24,52,-70
13:42.0,24,30,-60
13:42.0,24,55,-66
13:42.0,24,33,-67
13:42.0,24,39,-70
13:42.0,24,35,-69
13:42.0,24,57,-67
13:42.0,24,34,-65
13:42.0,24,56,-68
13:42.0,24,37,-67
13:42.0,24,59,-64
13:42.0,24,41,-58
13:42.0,24,22,-59
13:42.0,24,44,-61
13:42.0,24,27,-61
13:42.0,24,29,-63
13:42.0,24,46,-66
13:42.0,24,23,-55
13:42.0,24,45,-60
13:42.2,24,31,-69
13:42.2,24,52,-70
13:42.2,24,55,-67
13:42.2,24,32,-79
13:42.2,24,54,-67
13:42.2,24,51,-71
13:42.2,24,50,-70
13:42.2,24,39,-69
13:42.2,24,38,-74
13:42.2,24,57,-67
13:42.2,24,34,-68
13:42.2,24,59,-64
13:42.2,24,36,-71
13:42.2,24,42,-63
13:42.2,24,41,-58
13:42.2,24,22,-59
13:42.2,24,44,-60
13:42.2,24,43,-64
13:42.2,24,49,-65
13:42.2,24,27,-62
13:42.2,24,29,-63
13:42.2,24,24,-55
13:42.2,24,23,-55
13:42.2,24,45,-60
13:42.2,24,26,-52
13:42.4,24,31,-68
13:42.4,24,53,-73
13:42.4,24,52,-70
13:42.4,24,30,-61
13:42.4,24,33,-67
13:42.4,24,32,-75
13:42.4,24,50,-72
13:42.4,24,39,-69
13:42.4,24,35,-71
13:42.4,24,57,-68
13:42.4,24,34,-68
13:42.4,24,56,-67
13:42.4,24,59,-64
13:42.4,24,42,-65
13:42.4,24,22,-59
13:42.4,24,44,-60
13:42.4,24,21,-60
13:42.4,24,49,-66
13:42.4,24,46,-66
13:42.4,24,24,-56
13:42.4,24,45,-60
13:42.4,24,26,-52
13:42.4,24,25,-50
13:42.6,24,31,-68
13:42.6,24,54,-67
13:42.6,24,50,-69
13:42.6,24,39,-71
13:42.6,24,57,-68
13:42.6,24,34,-65
13:42.6,24,59,-65
13:42.6,24,58,-68
13:42.6,24,22,-59
13:42.6,24,44,-60
13:42.6,24,21,-60
13:42.6,24,40,-67
13:42.6,24,49,-66
13:42.6,24,27,-61
13:42.6,24,25,-50
13:42.6,24,47,-62
13:42.8,24,31,-69
13:42.8,24,53,-73
13:42.8,24,52,-69
13:42.8,24,55,-67
13:42.8,24,32,-78
13:42.8,24,50,-69
13:42.8,24,39,-71
13:42.8,24,34,-66
13:42.8,24,56,-69
13:42.8,24,59,-66
13:42.8,24,58,-69
13:42.8,24,42,-60
13:42.8,24,41,-59
13:42.8,24,22,-58
13:42.8,24,21,-60
13:42.8,24,49,-65
13:42.8,24,27,-61
13:42.8,24,29,-62
13:42.8,24,24,-56
13:42.8,24,45,-60
13:42.8,24,26,-52
13:42.8,24,25,-50
13:42.8,24,47,-62
13:43.0,24,31,-69
13:43.0,24,53,-72
13:43.0,24,52,-69
13:43.0,24,30,-60
13:43.0,24,33,-67
13:43.0,24,32,-77
13:43.0,24,54,-66
13:43.0,24,51,-69
13:43.0,24,39,-72
13:43.0,24,38,-73
13:43.0,24,35,-69
13:43.0,24,57,-66
13:43.0,24,34,-68
13:43.0,24,37,-67
13:43.0,24,36,-71
13:43.0,24,58,-66
13:43.0,24,22,-59
13:43.0,24,21,-60
13:43.0,24,43,-61
13:43.0,24,49,-67
13:43.0,24,27,-61
13:43.0,24,29,-62
13:43.0,24,46,-65
13:43.0,24,24,-56
13:43.0,24,45,-60
13:43.0,24,26,-52
13:43.0,24,48,-67
13:43.0,24,25,-50
13:43.0,24,47,-62
13:43.2,24,31,-69
13:43.2,24,52,-69
13:43.2,24,30,-60
13:43.2,24,33,-67
13:43.2,24,54,-68
13:43.2,24,51,-69
13:43.2,24,50,-73
13:43.2,24,39,-71
13:43.2,24,38,-73
13:43.2,24,57,-65
13:43.2,24,37,-67
13:43.2,24,59,-64
13:43.2,24,36,-71
13:43.2,24,22,-59
13:43.2,24,44,-60
13:43.2,24,21,-60
13:43.2,24,40,-68
13:43.2,24,28,-62
13:43.2,24,49,-66
13:43.2,24,27,-61
13:43.2,24,24,-56
13:43.2,24,23,-55
13:43.2,24,45,-60
13:43.2,24,26,-52
13:43.2,24,48,-66
13:43.2,24,25,-50
13:43.4,24,31,-69
13:43.4,24,52,-69
13:43.4,24,32,-80
13:43.4,24,54,-65
13:43.4,24,51,-71
13:43.4,24,39,-71
13:43.4,24,35,-70
13:43.4,24,57,-68
13:43.4,24,34,-66
13:43.4,24,56,-67
13:43.4,24,58,-68
13:43.4,24,42,-62
13:43.4,24,41,-59
13:43.4,24,22,-60
13:43.4,24,21,-59
13:43.4,24,28,-62
13:43.4,24,24,-56
13:43.4,24,23,-55
13:43.4,24,45,-60
13:43.4,24,26,-52
13:43.4,24,48,-66
13:43.4,24,25,-50
13:43.6,24,31,-70
13:43.6,24,55,-67
13:43.6,24,33,-66
13:43.6,24,32,-77
13:43.6,24,50,-70
13:43.6,24,34,-66
13:43.6,24,56,-66
13:43.6,24,37,-67
13:43.6,24,59,-65
13:43.6,24,36,-70
13:43.6,24,42,-63
13:43.6,24,41,-59
13:43.6,24,22,-59
13:43.6,24,43,-64
13:43.6,24,60,-71
13:43.6,24,28,-62
13:43.6,24,46,-65
13:43.6,24,24,-56
13:43.6,24,23,-55
13:43.6,24,26,-52
13:43.6,24,25,-50
13:43.6,24,47,-62
13:43.8,24,31,-69
13:43.8,24,53,-72
13:43.8,24,52,-70
13:43.8,24,33,-65
13:43.8,24,32,-78
13:43.8,24,39,-70
13:43.8,24,57,-68
13:43.8,24,56,-67
13:43.8,24,37,-67
13:43.8,24,36,-71
13:43.8,24,58,-69
13:43.8,24,42,-63
13:43.8,24,41,-59
13:43.8,24,22,-60
13:43.8,24,28,-61
13:43.8,24,29,-63
13:43.8,24,46,-65
13:43.8,24,24,-56
13:43.8,24,45,-61
13:43.8,24,47,-62
13:44.0,24,52,-70
13:44.0,24,30,-60
13:44.0,24,33,-65
13:44.0,24,32,-82
13:44.0,24,54,-67
13:44.0,24,50,-70
13:44.0,24,39,-73
13:44.0,24,35,-70
13:44.0,24,37,-68
13:44.0,24,36,-70
13:44.0,24,41,-59
13:44.0,24,44,-61
13:44.0,24,21,-60
13:44.0,24,49,-67
13:44.0,24,45,-60
13:44.0,24,26,-52
13:44.0,24,25,-50
13:44.0,24,47,-62
13:44.2,24,52,-69
13:44.2,24,55,-68
13:44.2,24,33,-66
13:44.2,24,51,-71
13:44.2,24,50,-70
13:44.2,24,38,-73
13:44.2,24,35,-70
13:44.2,24,57,-66
13:44.2,24,34,-68
13:44.2,24,56,-66
13:44.2,24,59,-64
13:44.2,24,36,-69
13:44.2,24,58,-68
13:44.2,24,42,-61
13:44.2,24,41,-59
13:44.2,24,22,-59
13:44.2,24,44,-60
13:44.2,24,43,-63
13:44.2,24,60,-71
13:44.2,24,28,-62
13:44.2,24,49,-65
13:44.2,24,27,-62
13:44.2,24,29,-64
13:44.2,24,24,-56
13:44.2,24,23,-55
13:44.2,24,45,-60
13:44.2,24,26,-52
13:44.2,24,25,-50
13:44.5,24,31,-69
13:44.5,24,53,-72
13:44.5,24,30,-60
13:44.5,24,55,-66
