TIME,Base,Minor,Rssi
08:16.5,60,31,-69
08:16.5,60,30,-68
08:16.5,60,52,-66
08:16.5,60,33,-64
08:16.5,60,51,-60
08:16.5,60,39,-60
08:16.5,60,38,-64
08:16.5,60,34,-60
08:16.5,60,56,-55
08:16.5,60,37,-51
08:16.5,60,36,-75
08:16.5,60,58,-64
08:16.5,60,41,-68
08:16.5,60,22,-70
08:16.5,60,60,-51
08:16.5,60,40,-64
08:16.5,60,28,-73
08:16.5,60,27,-69
08:16.5,60,49,-80
08:16.5,60,24,-67
08:16.5,60,45,-69
08:16.5,60,26,-75
08:16.5,60,48,-64
08:16.5,60,25,-66
08:16.7,60,53,-63
08:16.7,60,52,-65
08:16.7,60,54,-54
08:16.7,60,32,-83
08:16.7,60,51,-59
08:16.7,60,39,-63
08:16.7,60,57,-62
08:16.7,60,34,-62
08:16.7,60,56,-56
08:16.7,60,59,-60
08:16.7,60,58,-68
08:16.7,60,42,-73
08:16.7,60,41,-67
08:16.7,60,44,-69
08:16.7,60,22,-75
08:16.7,60,21,-73
08:16.7,60,60,-51
08:16.7,60,28,-73
08:16.7,60,27,-68
08:16.7,60,29,-74
08:16.7,60,23,-76
08:16.7,60,45,-69
08:16.7,60,26,-72
08:16.7,60,48,-64
08:16.7,60,25,-67
08:16.9,60,31,-69
08:16.9,60,30,-68
08:16.9,60,55,-58
08:16.9,60,54,-56
08:16.9,60,50,-62
08:16.9,60,38,-64
08:16.9,60,57,-66
08:16.9,60,35,-57
08:16.9,60,59,-64
08:16.9,60,36,-74
08:16.9,60,42,-73
08:16.9,60,41,-71
08:16.9,60,22,-75
08:16.9,60,43,-74
08:16.9,60,60,-53
08:16.9,60,40,-59
08:16.9,60,28,-86
08:16.9,60,27,-68
08:16.9,60,29,-66
08:16.9,60,46,-67
08:16.9,60,24,-66
08:16.9,60,23,-76
08:16.9,60,45,-70
08:16.9,60,26,-73
08:16.9,60,48,-66
08:17.1,60,53,-68
08:17.1,60,55,-55
08:17.1,60,33,-64
08:17.1,60,54,-57
08:17.1,60,32,-70
08:17.1,60,39,-56
08:17.1,60,57,-68
08:17.1,60,35,-54
08:17.1,60,59,-55
08:17.1,60,37,-56
08:17.1,60,36,-69
08:17.1,60,41,-63
08:17.1,60,44,-68
08:17.1,60,22,-67
08:17.1,60,43,-72
08:17.1,60,60,-50
08:17.1,60,40,-60
08:17.1,60,27,-58
08:17.1,60,46,-70
08:17.1,60,26,-67
08:17.1,60,47,-73
08:17.3,60,31,-68
08:17.3,60,55,-54
08:17.3,60,32,-71
08:17.3,60,57,-62
08:17.3,60,35,-56
08:17.3,60,56,-58
08:17.3,60,59,-57
08:17.3,60,37,-54
08:17.3,60,58,-57
08:17.3,60,42,-66
08:17.3,60,41,-63
08:17.3,60,43,-75
08:17.3,60,60,-50
08:17.3,60,40,-59
08:17.3,60,49,-73
08:17.3,60,29,-66
08:17.3,60,46,-70
08:17.3,60,23,-78
08:17.3,60,48,-68
08:17.3,60,25,-67
08:17.5,60,30,-68
08:17.5,60,55,-57
08:17.5,60,54,-58
08:17.5,60,32,-71
08:17.5,60,51,-62
08:17.5,60,50,-68
08:17.5,60,34,-62
08:17.5,60,59,-60
08:17.5,60,37,-53
08:17.5,60,36,-62
08:17.5,60,58,-58
08:17.5,60,42,-68
08:17.5,60,41,-64
08:17.5,60,44,-70
08:17.5,60,43,-78
08:17.5,60,60,-49
08:17.5,60,28,-66
08:17.5,60,27,-64
08:17.5,60,29,-68
08:17.5,60,46,-73
08:17.5,60,24,-65
08:17.5,60,23,-78
08:17.5,60,26,-68
08:17.5,60,48,-62
08:17.7,60,53,-67
08:17.7,60,33,-68
08:17.7,60,54,-58
08:17.7,60,32,-68
08:17.7,60,51,-62
08:17.7,60,38,-66
08:17.7,60,57,-55
08:17.7,60,34,-62
08:17.7,60,56,-57
08:17.7,60,59,-55
08:17.7,60,37,-54
08:17.7,60,36,-64
08:17.7,60,58,-57
08:17.7,60,41,-61
08:17.7,60,44,-69
08:17.7,60,43,-76
08:17.7,60,60,-49
08:17.7,60,27,-64
08:17.7,60,49,-71
08:17.7,60,29,-66
08:17.7,60,46,-84
08:17.7,60,24,-65
08:17.7,60,48,-65
08:17.7,60,25,-69
08:17.9,60,31,-66
08:17.9,60,33,-65
08:17.9,60,54,-55
08:17.9,60,32,-68
08:17.9,60,51,-62
08:17.9,60,50,-69
08:17.9,60,57,-64
08:17.9,60,35,-60
08:17.9,60,34,-61
08:17.9,60,59,-61
08:17.9,60,36,-63
08:17.9,60,58,-55
08:17.9,60,41,-67
08:17.9,60,22,-73
08:17.9,60,43,-70
08:17.9,60,60,-54
08:17.9,60,27,-65
08:17.9,60,46,-68
08:17.9,60,45,-67
08:17.9,60,48,-75
08:17.9,60,47,-62
08:18.1,60,53,-66
08:18.1,60,55,-55
08:18.1,60,33,-60
08:18.1,60,32,-63
08:18.1,60,51,-64
08:18.1,60,50,-71
08:18.1,60,39,-58
08:18.1,60,57,-63
08:18.1,60,35,-61
08:18.1,60,34,-62
08:18.1,60,59,-57
08:18.1,60,37,-52
08:18.1,60,36,-60
08:18.1,60,58,-56
08:18.1,60,41,-65
08:18.1,60,44,-72
08:18.1,60,43,-73
08:18.1,60,21,-66
08:18.1,60,60,-51
08:18.1,60,40,-53
08:18.1,60,29,-61
08:18.1,60,23,-67
08:18.1,60,47,-65
08:18.3,60,53,-67
08:18.3,60,33,-62
08:18.3,60,32,-60
08:18.3,60,51,-65
08:18.3,60,50,-69
08:18.3,60,57,-64
08:18.3,60,34,-60
08:18.3,60,37,-53
08:18.3,60,36,-59
08:18.3,60,58,-56
08:18.3,60,41,-66
08:18.3,60,22,-69
08:18.3,60,60,-50
08:18.3,60,28,-61
08:18.3,60,27,-70
08:18.3,60,29,-63
08:18.3,60,24,-84
08:18.3,60,23,-66
08:18.3,60,26,-81
08:18.3,60,47,-66
08:18.5,60,54,-52
08:18.5,60,32,-62
08:18.5,60,51,-66
08:18.5,60,38,-60
08:18.5,60,57,-61
08:18.5,60,34,-62
08:18.5,60,59,-56
08:18.5,60,37,-55
08:18.5,60,36,-61
08:18.5,60,58,-55
08:18.5,60,42,-69
08:18.5,60,41,-66
08:18.5,60,22,-69
08:18.5,60,43,-73
08:18.5,60,60,-58
08:18.5,60,28,-61
08:18.5,60,27,-70
08:18.5,60,49,-66
08:18.5,60,29,-62
08:18.7,60,30,-67
08:18.7,60,52,-67
08:18.7,60,55,-54
08:18.7,60,32,-61
08:18.7,60,51,-66
08:18.7,60,39,-58
08:18.7,60,35,-60
08:18.7,60,56,-58
08:18.7,60,59,-57
08:18.7,60,36,-60
08:18.7,60,58,-56
08:18.7,60,44,-70
08:18.7,60,60,-55
08:18.7,60,40,-55
08:18.7,60,28,-62
08:18.7,60,29,-62
08:18.7,60,24,-92
08:18.7,60,23,-68
08:18.7,60,48,-69
08:18.7,60,47,-65
08:18.9,60,31,-64
08:18.9,60,52,-68
08:18.9,60,55,-54
08:18.9,60,33,-61
08:18.9,60,32,-62
08:18.9,60,51,-66
08:18.9,60,39,-58
08:18.9,60,38,-61
08:18.9,60,57,-62
08:18.9,60,34,-60
08:18.9,60,59,-58
08:18.9,60,36,-60
08:18.9,60,58,-56
08:18.9,60,41,-68
08:18.9,60,44,-67
