Block No.,RMS,Max,Min,"
",Block No.,RMS,Max,Min
21,0.7422,1.0062,0,"
",41,0.2348,0.6364,0
22,0.5474,1.423,0,"
",42,0.3175,0.9,0
23,0.6232,1.0062,0.45,"
",43,0.6194,1.423,0
24,0.476,1.0062,0,"
",44,0.4643,1.0062,0.45
25,0.2199,1.0062,0,"
",45,0.5636,1.2728,0.45
26,0.3559,1.0062,0,"
",46,0.3407,1.35,0
27,0.2343,0.9,0,"
",47,0.2585,1.0062,0
28,0.4542,1.35,0,"
",48,0.4904,1.2728,0
29,0.2329,0.9,0,"
",49,0.6732,1.0062,0
30,0.2304,0.6364,0,"
",50,0.6344,1.35,0
31,0.2501,0.9,0,"
",51,0.9611,1.8,0
32,0.2501,0.9,0,"
",52,0.54,1.423,0.45
33,0.5574,1.8,0,"
",53,0.506,1.423,0.45
34,0.8589,1.423,0,"
",54,0.3631,1.6225,0
35,0.4417,1.8554,0,"
",55,0.5949,1.423,0
36,0.4743,2.25,0,"
",56,0.5932,1.0062,0.45
37,0.2909,1.8,0,"
",57,0.5771,1.0062,0.45
38,0.2537,0.6364,0,"
",58,0.7425,1.6225,0
39,0.4399,1.2728,0,"
",59,0.3164,1.9092,0
40,0.4662,2.25,0,"
",60,0.6512,1.423,0
Total=====================================================,,,,,,,,
Max : ,0.9611,,,,,,,
Min : ,0.2199,,,,,,,
Avg : ,0.4711,,,,,,,
,,,,"
",,,,
,,,,"
",,,,
,,,,"
",,,,
,,,,"
",,,,
,,,,"
",,,,
,,,,"
",,,,
,,,,"
",,,,
,,,,"
",,,,
,,,,"
",,,,
,,,,"
",,,,
,,,,"
",,,,
,,,,"
",,,,
,,,,"
",,,,
,,,,"
",,,,
,,,,"
",,,,
,,,,"
",,,,
,,,,,,,,
,,"
",,,,,,
,,"
",,,,,,
,,"
",,,,,,
