TIME,Base,Minor,Rssi
28:47.0,40,31,-66
28:47.0,40,52,-66
28:47.0,40,33,-66
28:47.0,40,54,-64
28:47.0,40,39,-55
28:47.0,40,57,-62
28:47.0,40,56,-59
28:47.0,40,59,-59
28:47.0,40,58,-59
28:47.0,40,42,-67
28:47.0,40,41,-68
28:47.0,40,43,-69
28:47.0,40,60,-57
28:47.0,40,49,-65
28:47.0,40,29,-56
28:47.0,40,46,-67
28:47.0,40,23,-67
28:47.0,40,45,-66
28:47.0,40,26,-74
28:47.0,40,47,-69
28:47.2,40,53,-64
28:47.2,40,55,-60
28:47.2,40,54,-66
28:47.2,40,32,-65
28:47.2,40,50,-69
28:47.2,40,57,-60
28:47.2,40,56,-60
28:47.2,40,37,-46
28:47.2,40,59,-59
28:47.2,40,58,-58
28:47.2,40,42,-65
28:47.2,40,41,-67
28:47.2,40,44,-72
28:47.2,40,43,-69
28:47.2,40,60,-55
28:47.2,40,40,-51
28:47.2,40,49,-63
28:47.2,40,27,-67
28:47.2,40,29,-56
28:47.2,40,46,-67
28:47.2,40,23,-66
28:47.2,40,48,-71
28:47.2,40,26,-74
28:47.2,40,47,-73
28:47.4,40,31,-66
28:47.4,40,52,-68
28:47.4,40,33,-66
28:47.4,40,55,-59
28:47.4,40,32,-66
28:47.4,40,51,-60
28:47.4,40,50,-69
28:47.4,40,38,-64
28:47.4,40,56,-60
28:47.4,40,34,-61
28:47.4,40,37,-48
28:47.4,40,59,-62
28:47.4,40,58,-57
28:47.4,40,36,-63
28:47.4,40,41,-68
28:47.4,40,22,-72
28:47.4,40,43,-70
28:47.4,40,28,-58
28:47.4,40,49,-64
28:47.4,40,27,-66
28:47.4,40,29,-55
28:47.4,40,46,-68
28:47.4,40,23,-62
28:47.4,40,45,-65
28:47.4,40,47,-69
28:47.6,40,53,-67
28:47.6,40,33,-62
28:47.6,40,55,-59
28:47.6,40,54,-65
28:47.6,40,32,-62
28:47.6,40,51,-62
28:47.6,40,57,-58
28:47.6,40,35,-60
28:47.6,40,56,-64
28:47.6,40,34,-60
28:47.6,40,37,-47
28:47.6,40,59,-60
28:47.6,40,36,-62
28:47.6,40,42,-64
28:47.6,40,22,-74
28:47.6,40,40,-48
28:47.6,40,28,-59
28:47.6,40,24,-67
28:47.6,40,48,-73
28:47.6,40,26,-73
28:47.6,40,47,-68
28:47.8,40,31,-66
28:47.8,40,30,-71
28:47.8,40,52,-70
28:47.8,40,33,-63
28:47.8,40,55,-58
28:47.8,40,54,-64
28:47.8,40,51,-62
28:47.8,40,39,-56
28:47.8,40,38,-66
28:47.8,40,57,-58
28:47.8,40,35,-68
28:47.8,40,34,-62
28:47.8,40,37,-47
28:47.8,40,59,-60
28:47.8,40,44,-71
28:47.8,40,22,-77
28:47.8,40,43,-68
28:47.8,40,21,-69
28:47.8,40,60,-55
28:47.8,40,40,-49
28:47.8,40,28,-58
28:47.8,40,49,-64
28:47.8,40,27,-67
28:47.8,40,29,-54
28:47.8,40,24,-66
28:47.8,40,46,-67
28:47.8,40,23,-65
28:47.8,40,45,-64
28:47.8,40,26,-73
28:47.8,40,47,-67
28:48.0,40,30,-70
28:48.0,40,52,-73
28:48.0,40,33,-64
28:48.0,40,55,-61
28:48.0,40,32,-64
28:48.0,40,39,-55
28:48.0,40,57,-59
28:48.0,40,35,-64
28:48.0,40,34,-64
28:48.0,40,59,-61
28:48.0,40,58,-58
28:48.0,40,36,-62
28:48.0,40,42,-68
28:48.0,40,22,-84
28:48.0,40,43,-68
28:48.0,40,21,-67
28:48.0,40,60,-54
28:48.0,40,40,-49
28:48.0,40,28,-59
28:48.0,40,49,-62
28:48.0,40,27,-67
28:48.0,40,24,-67
28:48.0,40,46,-65
28:48.0,40,48,-71
28:48.0,40,26,-70
28:48.0,40,47,-65
28:48.2,40,31,-66
28:48.2,40,30,-71
28:48.2,40,52,-75
28:48.2,40,33,-64
28:48.2,40,55,-59
28:48.2,40,51,-62
28:48.2,40,50,-72
28:48.2,40,38,-65
28:48.2,40,57,-60
28:48.2,40,35,-66
28:48.2,40,56,-66
28:48.2,40,34,-65
28:48.2,40,37,-47
28:48.2,40,59,-62
28:48.2,40,58,-57
28:48.2,40,42,-66
28:48.2,40,41,-68
28:48.2,40,43,-68
28:48.2,40,21,-69
28:48.2,40,40,-49
28:48.2,40,28,-59
28:48.2,40,24,-69
28:48.2,40,46,-66
28:48.2,40,23,-66
28:48.2,40,45,-63
28:48.2,40,26,-73
28:48.2,40,47,-64
28:48.2,40,25,-60
28:48.4,40,52,-74
28:48.4,40,51,-63
28:48.4,40,39,-54
28:48.4,40,38,-67
28:48.4,40,57,-59
28:48.4,40,35,-64
28:48.4,40,56,-64
28:48.4,40,34,-64
28:48.4,40,37,-48
28:48.4,40,59,-61
28:48.4,40,58,-57
28:48.4,40,36,-64
28:48.4,40,42,-66
28:48.4,40,22,-82
28:48.4,40,60,-57
28:48.4,40,40,-49
28:48.4,40,28,-60
28:48.4,40,24,-70
28:48.4,40,46,-65
28:48.4,40,23,-64
28:48.4,40,45,-65
28:48.4,40,47,-65
28:48.4,40,25,-58
28:48.6,40,31,-66
28:48.6,40,53,-65
28:48.6,40,30,-70
28:48.6,40,52,-79
28:48.6,40,54,-62
28:48.6,40,32,-62
28:48.6,40,51,-63
28:48.6,40,39,-55
28:48.6,40,38,-65
28:48.6,40,57,-59
28:48.6,40,56,-64
28:48.6,40,59,-61
28:48.6,40,36,-64
28:48.6,40,41,-66
28:48.6,40,44,-71
28:48.6,40,43,-68
28:48.6,40,60,-56
28:48.6,40,28,-59
28:48.6,40,29,-53
28:48.6,40,24,-66
28:48.6,40,23,-66
28:48.6,40,48,-73
28:48.6,40,47,-64
28:48.6,40,25,-60
28:48.8,40,52,-74
28:48.8,40,33,-64
28:48.8,40,55,-59
28:48.8,40,32,-64
28:48.8,40,51,-61
28:48.8,40,39,-55
28:48.8,40,35,-64
28:48.8,40,34,-66
28:48.8,40,59,-61
28:48.8,40,58,-58
28:48.8,40,36,-65
28:48.8,40,41,-66
28:48.8,40,22,-79
28:48.8,40,43,-69
28:48.8,40,21,-67
28:48.8,40,40,-49
28:48.8,40,28,-59
28:48.8,40,27,-69
28:48.8,40,29,-55
28:48.8,40,24,-69
28:48.8,40,23,-64
28:48.8,40,45,-65
28:49.0,40,53,-64
28:49.0,40,52,-76
28:49.0,40,33,-65
28:49.0,40,55,-60
28:49.0,40,39,-54
28:49.0,40,38,-68
28:49.0,40,35,-63
28:49.0,40,34,-64
28:49.0,40,37,-47
28:49.0,40,36,-63
28:49.0,40,42,-67
28:49.0,40,41,-66
28:49.0,40,44,-73
28:49.0,40,22,-86
28:49.0,40,43,-68
28:49.0,40,60,-55
28:49.0,40,40,-49
28:49.0,40,28,-60
28:49.0,40,29,-54
28:49.0,40,24,-70
28:49.0,40,23,-64
28:49.0,40,48,-78
28:49.0,40,26,-75
28:49.0,40,47,-65
28:49.0,40,25,-58
28:49.2,40,31,-67
28:49.2,40,53,-64
28:49.2,40,52,-79
28:49.2,40,33,-64
28:49.2,40,55,-58
28:49.2,40,32,-62
28:49.2,40,51,-61
28:49.2,40,39,-56
28:49.2,40,38,-64
28:49.2,40,57,-59
28:49.2,40,56,-65
28:49.2,40,34,-64
28:49.2,40,37,-47
28:49.2,40,59,-65
28:49.2,40,41,-65
28:49.2,40,22,-87
28:49.2,40,43,-68
28:49.2,40,60,-57
28:49.2,40,40,-49
28:49.2,40,49,-66
28:49.2,40,27,-67
28:49.2,40,24,-67
28:49.2,40,23,-65
28:49.2,40,45,-63
28:49.2,40,25,-59
28:49.4,40,53,-65
28:49.4,40,30,-70
28:49.4,40,33,-65
28:49.4,40,55,-58
28:49.4,40,32,-63
28:49.4,40,51,-62
28:49.4,40,39,-54
28:49.4,40,38,-65
28:49.4,40,57,-60
28:49.4,40,35,-64
28:49.4,40,56,-62
28:49.4,40,37,-47
28:49.4,40,58,-57
28:49.4,40,36,-63
28:49.4,40,41,-66
28:49.4,40,44,-70
28:49.4,40,22,-86
28:49.4,40,43,-69
28:49.4,40,60,-55
28:49.4,40,40,-49
28:49.4,40,28,-60
28:49.4,40,49,-65
28:49.4,40,23,-65
28:49.4,40,26,-71
28:49.4,40,47,-65
28:49.4,40,25,-59
28:49.6,40,53,-65
28:49.6,40,52,-73
28:49.6,40,55,-60
28:49.6,40,32,-64
28:49.6,40,39,-55
28:49.6,40,38,-66
28:49.6,40,56,-65
28:49.6,40,34,-65
28:49.6,40,37,-47
28:49.6,40,58,-57
28:49.6,40,43,-67
28:49.6,40,21,-69
