TIME,Base,Minor,Rssi
25:00.8,51,53,-53
25:00.8,51,31,-58
25:00.8,51,30,-59
25:00.8,51,52,-55
25:00.8,51,55,-53
25:00.8,51,54,-51
25:00.8,51,51,-55
25:00.8,51,50,-61
25:00.8,51,38,-64
25:00.8,51,57,-58
25:00.8,51,34,-53
25:00.8,51,56,-54
25:00.8,51,59,-68
25:00.8,51,42,-78
25:00.8,51,22,-63
25:00.8,51,43,-69
25:00.8,51,21,-75
25:00.8,51,60,-59
25:00.8,51,40,-67
25:00.8,51,28,-62
25:00.8,51,49,-67
25:00.8,51,46,-59
25:00.8,51,48,-60
25:00.8,51,47,-60
25:00.8,51,25,-70
25:01.0,51,31,-54
25:01.0,51,30,-58
25:01.0,51,52,-60
25:01.0,51,55,-53
25:01.0,51,32,-68
25:01.0,51,54,-52
25:01.0,51,51,-55
25:01.0,51,39,-73
25:01.0,51,35,-53
25:01.0,51,56,-54
25:01.0,51,59,-68
25:01.0,51,37,-62
25:01.0,51,58,-62
25:01.0,51,36,-53
25:01.0,51,42,-77
25:01.0,51,22,-64
25:01.0,51,21,-71
25:01.0,51,60,-59
25:01.0,51,40,-67
25:01.0,51,46,-57
25:01.0,51,24,-58
25:01.0,51,26,-58
25:01.0,51,47,-54
25:01.2,51,31,-57
25:01.2,51,30,-57
25:01.2,51,52,-53
25:01.2,51,55,-52
25:01.2,51,33,-55
25:01.2,51,54,-53
25:01.2,51,50,-58
25:01.2,51,39,-65
25:01.2,51,57,-58
25:01.2,51,59,-63
25:01.2,51,58,-64
25:01.2,51,36,-51
25:01.2,51,42,-75
25:01.2,51,44,-65
25:01.2,51,22,-69
25:01.2,51,43,-64
25:01.2,51,60,-62
25:01.2,51,27,-58
25:01.2,51,49,-66
25:01.2,51,46,-59
25:01.2,51,45,-69
25:01.2,51,48,-59
25:01.2,51,47,-62
25:01.4,51,53,-54
25:01.4,51,31,-57
25:01.4,51,52,-59
25:01.4,51,33,-55
25:01.4,51,32,-67
25:01.4,51,50,-57
25:01.4,51,38,-68
25:01.4,51,57,-59
25:01.4,51,35,-55
25:01.4,51,34,-53
25:01.4,51,36,-52
25:01.4,51,42,-71
25:01.4,51,41,-82
25:01.4,51,22,-66
25:01.4,51,60,-58
25:01.4,51,28,-61
25:01.4,51,27,-58
25:01.4,51,29,-58
25:01.4,51,24,-61
25:01.4,51,45,-65
25:01.4,51,48,-59
25:01.4,51,26,-60
25:01.4,51,47,-56
25:01.4,51,25,-71
25:01.6,51,31,-58
25:01.6,51,30,-56
25:01.6,51,55,-55
25:01.6,51,33,-55
25:01.6,51,50,-57
25:01.6,51,39,-66
25:01.6,51,38,-66
25:01.6,51,35,-56
25:01.6,51,56,-54
25:01.6,51,59,-66
25:01.6,51,37,-63
25:01.6,51,42,-72
25:01.6,51,44,-67
25:01.6,51,43,-67
25:01.6,51,60,-61
25:01.6,51,40,-68
25:01.6,51,28,-63
25:01.6,51,49,-62
25:01.6,51,46,-57
25:01.6,51,24,-64
25:01.6,51,23,-66
25:01.6,51,48,-62
25:01.8,51,53,-57
25:01.8,51,31,-58
25:01.8,51,52,-63
25:01.8,51,55,-62
25:01.8,51,32,-58
25:01.8,51,54,-51
25:01.8,51,51,-51
25:01.8,51,50,-53
25:01.8,51,38,-67
25:01.8,51,57,-60
25:01.8,51,56,-55
25:01.8,51,37,-65
25:01.8,51,36,-53
25:01.8,51,42,-64
25:01.8,51,41,-67
25:01.8,51,44,-64
25:01.8,51,22,-66
25:01.8,51,43,-59
25:01.8,51,21,-64
25:01.8,51,29,-56
25:01.8,51,46,-60
25:01.8,51,48,-54
25:01.8,51,26,-60
25:02.0,51,31,-58
25:02.0,51,30,-56
25:02.0,51,52,-56
25:02.0,51,55,-61
25:02.0,51,54,-49
25:02.0,51,51,-55
25:02.0,51,50,-60
25:02.0,51,39,-68
25:02.0,51,38,-66
25:02.0,51,56,-55
25:02.0,51,59,-56
25:02.0,51,37,-64
25:02.0,51,42,-64
25:02.0,51,43,-61
25:02.0,51,21,-60
