BASE,MAX,MIN,AVG,RMS
21,1.42302,0.0,0.15404,0.31551
22,1.00623,0.0,0.21371,0.37017
23,1.00623,0.0,0.21896,0.35316
24,1.35,0.0,0.17554,0.33305
25,1.42302,0.0,0.1141,0.28484
26,1.27279,0.0,0.1786,0.39144
27,1.6225,0.0,0.15834,0.38813
28,1.90919,0.0,0.18345,0.35963
29,1.90919,0.0,0.11386,0.29224
30,1.6225,0.0,0.163,0.38045
31,1.27279,0.0,0.41401,0.55063
32,1.35,0.0,0.10442,0.25922
33,1.42302,0.0,0.14898,0.35738
34,2.84605,0.0,0.26014,0.48609
35,1.42302,0.0,0.15468,0.34998
36,1.90919,0.0,0.14492,0.36996
37,1.6225,0.0,0.1713,0.43836
38,1.27279,0.0,0.16267,0.34838
39,1.27279,0.0,0.12001,0.27216
40,1.42302,0.0,0.13593,0.32084
41,2.73724,0.0,0.11364,0.25894
42,1.90919,0.0,0.14631,0.3257
43,1.8554,0.0,0.19082,0.36639
44,1.27279,0.0,0.19278,0.31554
45,1.6225,0.0,0.18983,0.36783
46,1.8554,0.0,0.1344,0.30557
47,1.90919,0.0,0.20858,0.50065
48,1.6225,0.0,0.13325,0.3023
49,2.01246,0.0,0.23307,0.48901
50,1.8554,0.0,0.20994,0.45654
51,1.8554,0.0,0.26034,0.48992
52,1.8554,0.0,0.22259,0.37329
53,1.35,0.45,0.54231,0.55903
54,1.6225,0.0,0.13546,0.33823
55,1.6225,0.0,0.18059,0.37867
56,1.00623,0.0,0.19481,0.33988
57,1.00623,0.0,0.15713,0.2882
58,1.42302,0.0,0.17282,0.3642
59,1.42302,0.0,0.1215,0.28318
60,2.84605,0.0,0.16105,0.36299
