board_id,block_id,reg_dt,major,minor,lc1,lc2,lc3,lc4,etc,insert_dt
K015,1,12:17.6,1,57,84,0,0,70,\N,12:17.6
K015,4,12:17.6,1,60,0,0,85,0,\N,12:17.6
K014,4,12:17.6,1,56,365,999,971,999,\N,12:17.6
K010,1,12:17.6,1,37,98,74,84,73,\N,12:17.6
K010,2,12:17.6,1,38,0,0,130,0,\N,12:17.6
K010,3,12:17.6,1,39,71,0,0,125,\N,12:17.6
K009,3,12:17.6,1,35,84,0,0,0,\N,12:18.0
K015,1,12:17.9,1,57,57,0,52,59,\N,12:18.0
K015,4,12:17.9,1,60,0,0,85,0,\N,12:18.0
K010,1,12:17.9,1,37,98,74,84,73,\N,12:18.0
K010,2,12:17.9,1,38,0,0,123,0,\N,12:18.0
K010,3,12:17.9,1,39,74,0,0,117,\N,12:18.0
K014,4,12:17.9,1,56,999,999,999,999,\N,12:18.0
K009,3,12:17.9,1,35,83,0,0,0,\N,12:18.0
K015,1,12:18.2,1,57,58,0,0,62,\N,12:18.5
K015,4,12:18.2,1,60,0,0,77,0,\N,12:18.5
K010,1,12:18.2,1,37,97,83,94,0,\N,12:18.5
K010,2,12:18.2,1,38,0,0,123,71,\N,12:18.5
K010,3,12:18.2,1,39,77,0,0,117,\N,12:18.5
K014,4,12:18.2,1,56,77,999,999,784,\N,12:18.5
K009,3,12:18.2,1,35,999,999,999,999,\N,12:18.5
K015,1,12:18.5,1,57,82,0,0,59,\N,12:18.5
K015,4,12:18.5,1,60,0,0,71,0,\N,12:18.5
K010,1,12:18.5,1,37,88,75,88,61,\N,12:18.9
K010,2,12:18.5,1,38,0,0,117,58,\N,12:18.9
K010,3,12:18.5,1,39,74,0,0,118,\N,12:18.9
K014,4,12:18.5,1,56,570,999,163,892,\N,12:18.9
K009,3,12:18.6,1,35,999,999,999,999,\N,12:18.9
K015,1,12:18.8,1,57,86,0,0,58,\N,12:18.9
K015,4,12:18.8,1,60,0,0,69,0,\N,12:18.9
K010,1,12:18.8,1,37,88,74,84,67,\N,12:18.9
K010,2,12:18.8,1,38,0,0,121,0,\N,12:18.9
K010,3,12:18.8,1,39,70,0,0,119,\N,12:18.9
K014,4,12:18.8,1,56,999,999,590,999,\N,12:18.9
K009,3,12:18.9,1,35,999,633,850,638,\N,12:18.9
K015,1,12:19.1,1,57,77,0,0,58,\N,12:19.2
K015,4,12:19.1,1,60,0,0,69,0,\N,12:19.2
K010,1,12:19.1,1,37,87,74,83,66,\N,12:19.2
K010,2,12:19.1,1,38,0,0,124,0,\N,12:19.2
K010,3,12:19.1,1,39,70,0,0,119,\N,12:19.2
K014,4,12:19.1,1,56,999,999,999,999,\N,12:19.2
K009,3,12:19.2,1,35,723,999,628,434,\N,12:19.2
K015,1,12:19.4,1,57,84,0,0,55,\N,12:19.7
K015,4,12:19.4,1,60,0,0,70,0,\N,12:19.7
K010,1,12:19.4,1,37,88,78,85,60,\N,12:19.7
K010,2,12:19.4,1,38,51,0,118,67,\N,12:19.7
K010,3,12:19.4,1,39,74,0,0,118,\N,12:19.7
K014,4,12:19.4,1,56,999,999,576,999,\N,12:19.7
K009,3,12:19.5,1,35,999,999,999,922,\N,12:19.7
K015,1,12:19.7,1,57,82,0,0,56,\N,12:19.7
K015,4,12:19.7,1,60,0,0,70,0,\N,12:19.7
K010,1,12:19.7,1,37,89,78,86,59,\N,12:19.7
K010,2,12:19.7,1,38,53,0,119,68,\N,12:19.7
K010,3,12:19.7,1,39,74,0,0,117,\N,12:19.7
K014,4,12:19.7,1,56,999,999,707,999,\N,12:19.7
K009,3,12:19.8,1,35,999,999,999,973,\N,12:20.1
K015,1,12:20.0,1,57,80,0,0,57,\N,12:20.1
K015,4,12:20.0,1,60,0,0,70,0,\N,12:20.1
K010,1,12:20.0,1,37,88,77,86,60,\N,12:20.1
K010,2,12:20.0,1,38,57,0,119,65,\N,12:20.1
K010,3,12:20.0,1,39,73,0,0,118,\N,12:20.1
K014,4,12:20.1,1,56,999,999,895,999,\N,12:20.1
K009,3,12:20.1,1,35,999,999,999,939,\N,12:20.1
K015,1,12:20.3,1,57,78,0,0,58,\N,12:20.6
K015,4,12:20.3,1,60,0,0,70,0,\N,12:20.6
K010,1,12:20.3,1,37,88,77,85,60,\N,12:20.6
