TIME,Base,Minor,Rssi,,,
28:10.6,21,53,-65,,,
28:10.6,21,55,-70,,21,2
28:10.6,21,39,-67,,22,0
28:10.6,21,36,-79,,23,4
28:10.6,21,42,-65,,24,2
28:10.6,21,52,-75,,25,3
28:10.6,21,41,-55,,26,1
28:10.6,21,21,-55,,27,1
28:10.6,21,50,-73,,28,1
28:10.6,21,40,-68,,29,1
28:10.6,21,28,-73,,30,0
28:10.6,21,24,-51,,31,0
28:10.6,21,46,-65,,32,1
28:10.6,21,45,-72,,33,0
28:10.6,21,48,-64,,34,2
28:10.6,21,26,-58,,35,1
28:10.6,21,47,-63,,36,1
28:10.6,21,25,-60,,37,2
28:10.7,21,32,-75,,38,0
28:10.7,21,54,-76,,39,3
28:10.7,21,39,-67,,40,3
28:10.7,21,56,-61,,41,5
28:10.7,21,37,-74,,42,1
28:10.7,21,52,-73,,43,1
28:10.7,21,41,-55,,44,2
28:10.7,21,60,-67,,45,1
28:10.7,21,40,-66,,46,5
28:10.7,21,27,-80,,47,2
28:10.7,21,46,-65,,48,4
28:10.7,21,23,-59,,49,0
28:10.7,21,47,-64,,50,1
28:10.8,21,55,-70,,51,1
28:10.8,21,34,-77,,52,3
28:10.8,21,37,-75,,53,1
28:10.8,21,41,-55,,54,1
28:10.8,21,29,-76,,55,2
28:10.8,21,46,-64,,56,1
28:10.8,21,23,-58,,57,0
28:10.8,21,48,-62,,58,1
28:10.8,21,25,-60,,59,0
28:10.9,21,39,-67,,60,3
28:10.9,21,35,-72,,,
28:10.9,21,58,-78,,,
28:10.9,21,52,-73,,,
28:10.9,21,41,-54,,,
28:10.9,21,44,-71,,,
28:10.9,21,21,-57,,,
28:10.9,21,60,-69,,,
28:10.9,21,40,-67,,,
28:10.9,21,24,-52,,,
28:10.9,21,46,-65,,,
28:10.9,21,23,-58,,,
28:10.9,21,48,-62,,,
28:11.0,21,34,-79,,,
28:11.0,21,41,-53,,,
28:11.0,21,51,-67,,,
28:11.0,21,44,-70,,,
28:11.0,21,43,-69,,,
28:11.0,21,60,-69,,,
28:11.0,21,46,-64,,,
28:11.0,21,23,-58,,,
28:11.0,21,48,-61,,,
28:11.0,21,25,-60,,,
28:11.1,21,53,-66,,,
28:11.1,21,55,-70,,,
28:11.1,21,39,-66,,,
28:11.1,21,34,-77,,,
28:11.1,21,56,-62,,,
28:11.1,21,58,-80,,,
