TIME,Base,Minor,Rssi
34:06.4,59,53,-69
34:06.4,59,54,-61
34:06.4,59,38,-60
34:06.4,59,34,-61
34:06.4,59,59,-58
34:06.4,59,51,-66
34:06.4,59,44,-77
34:06.4,59,22,-72
34:06.4,59,50,-67
34:06.4,59,40,-61
34:06.4,59,28,-66
34:06.4,59,23,-67
34:06.4,59,45,-65
34:06.4,59,25,-59
34:06.4,59,47,-68
34:06.5,59,31,-76
34:06.5,59,39,-64
34:06.5,59,38,-60
34:06.5,59,34,-62
34:06.5,59,56,-55
34:06.5,59,59,-58
34:06.5,59,58,-46
34:06.5,59,43,-67
34:06.5,59,40,-60
34:06.5,59,49,-69
34:06.5,59,28,-63
34:06.5,59,27,-65
34:06.5,59,24,-70
34:06.5,59,45,-66
34:06.5,59,25,-60
34:06.5,59,47,-70
34:06.6,59,53,-69
34:06.6,59,30,-68
34:06.6,59,33,-74
34:06.6,59,38,-61
34:06.6,59,34,-67
34:06.6,59,59,-60
34:06.6,59,52,-74
34:06.6,59,51,-66
34:06.6,59,44,-68
34:06.6,59,40,-60
34:06.6,59,49,-75
34:06.6,59,27,-65
34:06.6,59,24,-71
34:06.6,59,46,-73
34:06.6,59,26,-73
34:06.6,59,47,-80
34:06.7,59,31,-68
34:06.7,59,55,-56
34:06.7,59,33,-79
34:06.7,59,32,-66
34:06.7,59,38,-62
34:06.7,59,56,-58
34:06.7,59,59,-59
34:06.7,59,58,-49
34:06.7,59,52,-75
34:06.7,59,60,-55
34:06.7,59,49,-83
34:06.7,59,28,-68
34:06.7,59,27,-62
34:06.7,59,24,-77
34:06.7,59,26,-70
34:06.8,59,53,-69
34:06.8,59,31,-69
34:06.8,59,30,-69
34:06.8,59,55,-55
34:06.8,59,54,-60
34:06.8,59,34,-64
34:06.8,59,58,-50
34:06.8,59,36,-67
34:06.8,59,42,-68
34:06.8,59,52,-73
34:06.8,59,50,-69
34:06.8,59,40,-64
34:06.8,59,24,-79
34:06.8,59,46,-80
34:06.8,59,48,-67
34:06.8,59,26,-67
34:06.9,59,30,-67
34:06.9,59,55,-55
34:06.9,59,32,-66
34:06.9,59,38,-64
34:06.9,59,41,-67
34:06.9,59,44,-70
34:06.9,59,22,-77
34:06.9,59,43,-79
34:06.9,59,60,-56
34:06.9,59,50,-71
34:06.9,59,40,-66
34:06.9,59,28,-70
34:06.9,59,46,-84
34:06.9,59,23,-71
34:06.9,59,48,-67
34:06.9,59,26,-67
34:07.0,59,38,-64
34:07.0,59,57,-58
34:07.0,59,56,-57
34:07.0,59,41,-68
34:07.0,59,51,-66
34:07.0,59,43,-76
34:07.0,59,21,-73
34:07.0,59,50,-71
34:07.0,59,49,-66
34:07.0,59,27,-64
34:07.0,59,29,-66
34:07.0,59,46,-81
34:07.0,59,48,-68
34:07.1,59,31,-78
34:07.1,59,55,-55
34:07.1,59,35,-60
34:07.1,59,34,-64
34:07.1,59,59,-55
34:07.1,59,58,-52
34:07.1,59,36,-68
34:07.1,59,42,-70
34:07.1,59,51,-66
34:07.1,59,43,-74
34:07.1,59,21,-73
34:07.1,59,60,-54
34:07.1,59,50,-69
34:07.1,59,27,-65
34:07.1,59,24,-74
34:07.2,59,31,-73
34:07.2,59,30,-68
34:07.2,59,57,-55
34:07.2,59,34,-66
34:07.2,59,43,-82
34:07.2,59,21,-75
34:07.2,59,50,-70
34:07.2,59,40,-61
34:07.2,59,49,-70
34:07.2,59,28,-67
34:07.2,59,27,-63
34:07.2,59,24,-78
34:07.2,59,47,-71
34:07.3,59,38,-63
34:07.3,59,57,-55
34:07.3,59,56,-55
34:07.3,59,59,-55
34:07.3,59,58,-52
34:07.3,59,51,-68
34:07.3,59,44,-76
34:07.3,59,60,-54
34:07.3,59,50,-67
34:07.3,59,40,-62
34:07.3,59,28,-69
34:07.3,59,29,-69
34:07.3,59,46,-79
34:07.3,59,23,-73
34:07.3,59,26,-68
34:07.3,59,25,-65
34:07.4,59,30,-68
34:07.4,59,38,-63
34:07.4,59,35,-60
34:07.4,59,57,-55
34:07.4,59,34,-63
34:07.4,59,56,-54
34:07.4,59,59,-55
34:07.4,59,37,-61
34:07.4,59,51,-67
34:07.4,59,44,-79
34:07.4,59,43,-74
34:07.4,59,60,-54
34:07.4,59,40,-62
34:07.4,59,28,-70
34:07.4,59,23,-69
34:07.4,59,25,-64
34:07.5,59,53,-72
34:07.5,59,56,-54
34:07.5,59,52,-82
34:07.5,59,44,-78
34:07.5,59,21,-75
34:07.5,59,60,-53
34:07.5,59,49,-68
34:07.5,59,29,-71
34:07.5,59,46,-79
34:07.5,59,48,-70
34:07.5,59,26,-68
34:07.5,59,25,-64
34:07.6,59,54,-59
34:07.6,59,57,-55
34:07.6,59,56,-54
34:07.6,59,59,-55
34:07.6,59,58,-51
34:07.6,59,52,-84
34:07.6,59,41,-67
34:07.6,59,21,-77
34:07.6,59,60,-53
34:07.6,59,49,-74
34:07.6,59,27,-63
34:07.6,59,29,-73
34:07.6,59,46,-77
34:07.6,59,48,-72
34:07.6,59,26,-68
34:07.6,59,25,-62
34:07.6,59,47,-75
34:07.7,59,33,-63
34:07.7,59,32,-69
34:07.7,59,38,-63
34:07.7,59,59,-56
34:07.7,59,37,-58
34:07.7,59,58,-52
34:07.7,59,49,-76
34:07.7,59,23,-69
34:07.7,59,45,-67
34:07.7,59,26,-68
34:07.7,59,25,-62
34:07.7,59,47,-77
34:07.8,59,30,-67
34:07.8,59,55,-56
34:07.8,59,32,-69
34:07.8,59,59,-56
34:07.8,59,58,-52
34:07.8,59,52,-80
34:07.8,59,51,-70
34:07.8,59,22,-72
34:07.8,59,43,-70
34:07.8,59,21,-82
34:07.8,59,60,-53
34:07.8,59,49,-75
34:07.8,59,23,-69
34:07.8,59,48,-76
34:07.8,59,47,-75
34:07.9,59,53,-73
34:07.9,59,32,-69
34:07.9,59,39,-65
34:07.9,59,59,-56
34:07.9,59,41,-67
34:07.9,59,51,-70
34:07.9,59,43,-70
34:07.9,59,21,-81
34:07.9,59,28,-73
34:07.9,59,27,-64
34:07.9,59,23,-68
34:07.9,59,45,-68
34:07.9,59,47,-75
34:08.0,59,30,-67
34:08.0,59,32,-69
34:08.0,59,38,-62
34:08.0,59,57,-55
34:08.0,59,34,-64
34:08.0,59,56,-54
34:08.0,59,59,-56
34:08.0,59,37,-57
34:08.0,59,58,-52
34:08.0,59,41,-67
34:08.0,59,44,-79
34:08.0,59,40,-64
34:08.0,59,49,-76
34:08.0,59,27,-64
34:08.0,59,29,-82
34:08.0,59,25,-62
34:08.0,59,47,-77
34:08.1,59,53,-73
34:08.1,59,31,-71
34:08.1,59,30,-67
34:08.1,59,55,-56
34:08.1,59,33,-63
34:08.1,59,54,-58
34:08.1,59,35,-61
34:08.1,59,57,-55
34:08.1,59,37,-57
34:08.1,59,58,-52
34:08.1,59,36,-62
34:08.1,59,44,-77
34:08.1,59,43,-69
34:08.1,59,27,-64
34:08.1,59,23,-68
34:08.1,59,48,-76
34:08.2,59,53,-73
34:08.2,59,30,-66
34:08.2,59,55,-56
34:08.2,59,33,-62
34:08.2,59,35,-62
34:08.2,59,57,-55
34:08.2,59,56,-54
34:08.2,59,58,-52
34:08.2,59,36,-63
34:08.2,59,41,-67
34:08.2,59,51,-71
34:08.2,59,43,-68
34:08.2,59,25,-62
34:08.3,59,53,-72
34:08.3,59,31,-73
34:08.3,59,55,-57
34:08.3,59,33,-62
34:08.3,59,54,-58
34:08.3,59,32,-69
34:08.3,59,39,-64
34:08.3,59,57,-56
34:08.3,59,59,-56
34:08.3,59,37,-58
34:08.3,59,36,-63
34:08.3,59,41,-67
34:08.3,59,44,-75
34:08.3,59,49,-76
34:08.3,59,24,-78
34:08.3,59,45,-69
34:08.3,59,25,-62
34:08.4,59,31,-71
34:08.4,59,33,-63
34:08.4,59,32,-69
34:08.4,59,39,-65
34:08.4,59,57,-55
34:08.4,59,56,-54
34:08.4,59,36,-62
34:08.4,59,22,-71
34:08.4,59,40,-63
34:08.4,59,49,-77
34:08.4,59,26,-71
34:08.4,59,25,-62
34:08.5,59,30,-67
34:08.5,59,55,-56
34:08.5,59,54,-58
34:08.5,59,32,-69
34:08.5,59,35,-62
34:08.5,59,57,-55
34:08.5,59,34,-63
34:08.5,59,37,-57
34:08.5,59,60,-54
34:08.5,59,40,-64
34:08.5,59,49,-77
34:08.5,59,27,-64
34:08.5,59,26,-71
34:08.5,59,47,-74
34:08.7,59,53,-73
34:08.7,59,55,-56
34:08.7,59,33,-64
34:08.7,59,32,-70
34:08.7,59,39,-62
34:08.7,59,57,-54
34:08.7,59,56,-55
34:08.7,59,44,-75
34:08.7,59,60,-56
34:08.7,59,40,-66
34:08.7,59,49,-77
34:08.7,59,29,-81
34:08.7,59,23,-70
34:08.7,59,25,-61
34:08.8,59,53,-72
34:08.8,59,31,-67
34:08.8,59,30,-68
34:08.8,59,55,-55
34:08.8,59,54,-58
34:08.8,59,57,-55
34:08.8,59,34,-65
34:08.8,59,36,-62
34:08.8,59,42,-69
34:08.8,59,52,-83
