Base,result minor,Max Rssi
21,22,-50.02
22,41,-50.38
23,45,-52.83
24,24,-49.22
25,25,-52.65
26,26,-53.19
27,48,-50.18
28,29,-51.64
29,29,-52.02
30,48,-50.57
31,29,-49.0
32,32,-52.89
33,29,-50.56
34,29,-52.75
35,35,-49.76
36,37,-51.48
37,37,-49.38
38,35,-50.46
39,37,-52.33
40,37,-49.04
41,41,-48.95
42,42,-47.59
43,43,-49.13
44,46,-53.15
45,47,-50.69
46,45,-52.77
47,50,-50.09
48,48,-48.89
49,49,-53.02
50,50,-51.87
51,51,-48.06
52,52,-52.81
53,54,-52.13
54,54,-47.84
55,55,-46.82
56,56,-47.98
57,35,-51.89
58,59,-56.1
59,58,-50.17
60,60,-47.25
