TIME,Base,Minor,Rssi
2021-08-27 15:25:23.985,325,53,-72
2021-08-27 15:25:23.985,325,30,-77
2021-08-27 15:25:23.985,325,52,-66
2021-08-27 15:25:23.985,325,33,-73
2021-08-27 15:25:23.985,325,54,-67
2021-08-27 15:25:23.985,325,51,-73
2021-08-27 15:25:23.985,325,50,-68
2021-08-27 15:25:23.985,325,57,-67
2021-08-27 15:25:23.985,325,59,-82
2021-08-27 15:25:23.985,325,36,-75
2021-08-27 15:25:23.985,325,42,-69
2021-08-27 15:25:23.985,325,41,-58
2021-08-27 15:25:23.985,325,43,-62
2021-08-27 15:25:23.985,325,21,-52
2021-08-27 15:25:23.985,325,27,-71
2021-08-27 15:25:23.985,325,29,-73
2021-08-27 15:25:23.985,325,24,-59
2021-08-27 15:25:23.985,325,46,-69
2021-08-27 15:25:23.985,325,23,-58
2021-08-27 15:25:23.985,325,26,-67
2021-08-27 15:25:23.985,325,48,-67
2021-08-27 15:25:23.985,325,25,-56
2021-08-27 15:25:23.985,325,47,-73
2021-08-27 15:25:24.187,325,30,-73
2021-08-27 15:25:24.187,325,33,-73
2021-08-27 15:25:24.187,325,54,-68
2021-08-27 15:25:24.187,325,51,-71
2021-08-27 15:25:24.187,325,50,-71
2021-08-27 15:25:24.187,325,57,-78
2021-08-27 15:25:24.187,325,35,-73
2021-08-27 15:25:24.187,325,59,-69
2021-08-27 15:25:24.187,325,36,-71
2021-08-27 15:25:24.187,325,41,-60
2021-08-27 15:25:24.187,325,44,-69
2021-08-27 15:25:24.187,325,22,-52
2021-08-27 15:25:24.187,325,60,-74
2021-08-27 15:25:24.187,325,28,-68
2021-08-27 15:25:24.187,325,27,-67
2021-08-27 15:25:24.187,325,49,-69
2021-08-27 15:25:24.187,325,29,-77
2021-08-27 15:25:24.187,325,24,-67
2021-08-27 15:25:24.187,325,46,-86
2021-08-27 15:25:24.187,325,23,-56
2021-08-27 15:25:24.187,325,45,-66
2021-08-27 15:25:24.187,325,25,-53
2021-08-27 15:25:24.187,325,47,-69
