"board_id","block_id","reg_dt","major","minor","lc1","lc2","lc3","lc4","etc","insert_dt"
"K006","1","2021-08-27 15:25:24.040000","1","21","72","174","0","0",\N,"2021-08-27 15:25:27.359"
"K006","1","2021-08-27 15:25:24.345000","1","21","54","80","0","67",\N,"2021-08-27 15:25:27.359"
"K006","1","2021-08-27 15:25:24.650000","1","21","0","95","0","71",\N,"2021-08-27 15:25:27.359"
"K006","1","2021-08-27 15:25:24.955000","1","21","0","91","0","69",\N,"2021-08-27 15:25:27.359"
"K006","1","2021-08-27 15:25:25.258000","1","21","0","86","0","68",\N,"2021-08-27 15:25:27.359"
"K006","1","2021-08-27 15:25:25.565000","1","21","999","999","533","999",\N,"2021-08-27 15:25:27.359"
"K006","4","2021-08-27 15:25:25.565000","1","24","0","109","0","0",\N,"2021-08-27 15:25:27.359"
"K006","1","2021-08-27 15:25:25.876000","1","21","999","999","999","999",\N,"2021-08-27 15:25:27.359"
"K006","4","2021-08-27 15:25:25.876000","1","24","0","97","0","84",\N,"2021-08-27 15:25:27.359"
"K006","1","2021-08-27 15:25:26.181000","1","21","990","964","999","999",\N,"2021-08-27 15:25:27.359"
"K006","4","2021-08-27 15:25:26.181000","1","24","0","999","999","920",\N,"2021-08-27 15:25:27.359"
"K007","1","2021-08-27 15:25:26.279000","1","25","159","126","119","63",\N,"2021-08-27 15:25:27.359"
"K007","4","2021-08-27 15:25:26.279000","1","28","0","0","54","0",\N,"2021-08-27 15:25:27.359"
"K008","3","2021-08-27 15:25:26.405000","1","31","0","0","0","53",\N,"2021-08-27 15:25:27.359"
"K006","1","2021-08-27 15:25:26.488000","1","21","60","0","0","83",\N,"2021-08-27 15:25:27.359"
"K006","4","2021-08-27 15:25:26.488000","1","24","0","999","999","999",\N,"2021-08-27 15:25:27.359"
"K007","1","2021-08-27 15:25:26.584000","1","25","205","127","124","0",\N,"2021-08-27 15:25:27.359"
"K006","1","2021-08-27 15:25:26.801000","1","21","58","0","0","68",\N,"2021-08-27 15:25:27.359"
"K006","4","2021-08-27 15:25:26.801000","1","24","0","244","999","999",\N,"2021-08-27 15:25:27.359"
"K007","1","2021-08-27 15:25:26.889000","1","25","999","146","999","999",\N,"2021-08-27 15:25:27.359"
"K007","4","2021-08-27 15:25:26.889000","1","28","693","216","111","0",\N,"2021-08-27 15:25:27.359"
"K006","1","2021-08-27 15:25:27.097000","1","21","75","0","0","72",\N,"2021-08-27 15:25:27.359"
"K006","4","2021-08-27 15:25:27.097000","1","24","0","57","103","0",\N,"2021-08-27 15:25:27.359"
"K007","1","2021-08-27 15:25:27.270000","1","25","0","0","999","999",\N,"2021-08-27 15:25:27.359"
"K007","4","2021-08-27 15:25:27.270000","1","28","999","999","999","112",\N,"2021-08-27 15:25:27.359"
"K008","1","2021-08-27 15:25:27.317000","1","29","999","999","71","197",\N,"2021-08-27 15:25:27.359"
"K006","1","2021-08-27 15:25:27.413000","1","21","73","61","0","79",\N,"2021-08-27 15:25:30.331"
"K006","4","2021-08-27 15:25:27.413000","1","24","0","62","108","0",\N,"2021-08-27 15:25:30.331"
"K007","1","2021-08-27 15:25:27.574000","1","25","0","94","0","0",\N,"2021-08-27 15:25:30.331"
"K007","4","2021-08-27 15:25:27.574000","1","28","79","0","999","295",\N,"2021-08-27 15:25:30.331"
"K008","1","2021-08-27 15:25:27.628000","1","29","999","999","592","295",\N,"2021-08-27 15:25:30.331"
"K006","1","2021-08-27 15:25:27.718000","1","21","72","54","0","84",\N,"2021-08-27 15:25:30.331"
"K006","4","2021-08-27 15:25:27.718000","1","24","0","0","100","0",\N,"2021-08-27 15:25:30.331"
"K007","1","2021-08-27 15:25:27.884000","1","25","0","78","0","0",\N,"2021-08-27 15:25:30.331"
"K008","1","2021-08-27 15:25:27.931000","1","29","999","999","999","0",\N,"2021-08-27 15:25:30.331"
"K008","4","2021-08-27 15:25:27.931000","1","32","999","999","855","441",\N,"2021-08-27 15:25:30.331"
"K009","1","2021-08-27 15:25:28.001000","1","33","0","62","0","0",\N,"2021-08-27 15:25:30.331"
"K006","1","2021-08-27 15:25:28.024000","1","21","67","0","0","80",\N,"2021-08-27 15:25:30.331"
"K006","4","2021-08-27 15:25:28.024000","1","24","0","0","101","0",\N,"2021-08-27 15:25:30.331"
"K007","1","2021-08-27 15:25:28.191000","1","25","0","71","0","0",\N,"2021-08-27 15:25:30.331"
"K008","4","2021-08-27 15:25:28.239000","1","32","999","999","999","999",\N,"2021-08-27 15:25:30.331"
"K009","1","2021-08-27 15:25:28.306000","1","33","64","159","0","61",\N,"2021-08-27 15:25:30.331"
"K006","1","2021-08-27 15:25:28.329000","1","21","72","54","0","83",\N,"2021-08-27 15:25:30.331"
"K006","4","2021-08-27 15:25:28.329000","1","24","0","0","99","0",\N,"2021-08-27 15:25:30.331"
"K007","1","2021-08-27 15:25:28.495000","1","25","0","69","0","0",\N,"2021-08-27 15:25:30.331"
"K008","1","2021-08-27 15:25:28.548000","1","29","0","0","0","98",\N,"2021-08-27 15:25:30.331"
"K008","4","2021-08-27 15:25:28.548000","1","32","999","999","999","861",\N,"2021-08-27 15:25:30.331"
"K009","1","2021-08-27 15:25:28.611000","1","33","114","999","999","999",\N,"2021-08-27 15:25:30.331"
"K006","1","2021-08-27 15:25:28.635000","1","21","76","59","0","85",\N,"2021-08-27 15:25:30.331"
"K006","4","2021-08-27 15:25:28.635000","1","24","0","0","99","0",\N,"2021-08-27 15:25:30.331"
"K009","2","2021-08-27 15:25:28.611000","1","34","0","0","0","60",\N,"2021-08-27 15:25:30.331"
"K007","1","2021-08-27 15:25:28.800000","1","25","0","67","0","0",\N,"2021-08-27 15:25:30.331"
"K006","1","2021-08-27 15:25:28.939000","1","21","77","61","0","86",\N,"2021-08-27 15:25:30.331"
"K006","4","2021-08-27 15:25:28.939000","1","24","0","0","98","0",\N,"2021-08-27 15:25:30.331"
"K009","1","2021-08-27 15:25:28.958000","1","33","136","999","999","999",\N,"2021-08-27 15:25:30.331"
"K009","2","2021-08-27 15:25:28.958000","1","34","0","0","73","65",\N,"2021-08-27 15:25:30.331"
"K009","4","2021-08-27 15:25:28.958000","1","36","0","0","60","126",\N,"2021-08-27 15:25:30.331"
"K007","1","2021-08-27 15:25:29.106000","1","25","0","66","0","0",\N,"2021-08-27 15:25:30.331"
"K006","1","2021-08-27 15:25:29.244000","1","21","78","62","0","86",\N,"2021-08-27 15:25:30.331"
"K006","4","2021-08-27 15:25:29.244000","1","24","0","0","97","0",\N,"2021-08-27 15:25:30.331"
"K009","1","2021-08-27 15:25:29.265000","1","33","0","0","114","142",\N,"2021-08-27 15:25:30.331"
"K009","4","2021-08-27 15:25:29.265000","1","36","265","0","999","999",\N,"2021-08-27 15:25:30.331"
"K007","1","2021-08-27 15:25:29.410000","1","25","0","65","0","0",\N,"2021-08-27 15:25:30.331"
"K006","1","2021-08-27 15:25:29.550000","1","21","78","63","0","86",\N,"2021-08-27 15:25:30.331"
