reg_dt,minor,rssi,lc1,lc2,lc3,lc4,
26:12.5,21,0,0,0,0,0,
26:12.5,22,0,0,0,0,0,
26:12.5,23,0,0,0,0,0,
26:12.5,24,0,0,0,0,0,
26:12.5,25,0,0,0,0,0,
26:12.5,26,0,0,0,0,0,
26:12.5,27,0,0,0,0,0,
26:12.5,28,0,0,0,0,0,
26:12.5,29,0,0,0,0,0,
26:12.5,30,0,0,0,0,0,
26:12.5,31,0,0,0,0,0,
26:12.5,32,0,0,0,0,0,
26:12.5,33,0,0,0,0,0,
26:12.5,34,0,0,0,0,0,
26:12.5,35,0,0,0,0,0,
26:12.5,36,0,0,0,0,0,
26:12.5,37,0,0,0,0,0,
26:12.5,38,0,0,0,0,0,
26:12.5,39,0,0,0,0,0,
26:12.5,40,0,0,0,0,0,
26:12.5,41,0,0,0,0,0,
26:12.5,42,0,0,0,0,0,
26:12.5,43,0,0,0,0,0,
26:12.5,44,0,0,0,0,0,
26:12.5,45,0,0,0,0,0,
26:12.5,46,0,0,0,0,0,
26:12.5,47,0,0,0,0,0,
26:12.5,48,0,0,0,0,0,
26:12.5,49,0,0,0,0,0,
26:12.5,50,0,0,0,0,0,
26:12.5,51,0,0,0,0,0,
26:12.5,52,0,0,0,0,0,
26:12.5,53,0,0,0,0,69,
26:12.5,54,0,0,0,0,0,
26:12.5,55,0,0,0,0,0,
26:12.5,56,0,0,0,0,0,
26:12.5,57,0,0,0,0,0,
26:12.5,58,0,0,0,0,0,
26:12.5,59,0,0,0,0,0,
26:12.5,60,0,0,0,0,0,
2021-08-23 17:26,21,-64,0,0,60,0,
2021-08-23 17:26,22,0,0,0,0,0,
2021-08-23 17:26,23,-59,0,0,0,0,
2021-08-23 17:26,24,-61,0,0,0,0,
2021-08-23 17:26,25,0,0,0,0,0,
2021-08-23 17:26,26,0,0,0,0,0,
2021-08-23 17:26,27,0,0,0,0,0,
2021-08-23 17:26,28,-63,0,0,0,0,
2021-08-23 17:26,29,0,0,0,0,0,
2021-08-23 17:26,30,-71,0,0,0,0,
2021-08-23 17:26,31,-72,0,0,0,0,
2021-08-23 17:26,32,0,0,0,0,0,
2021-08-23 17:26,33,-70,0,0,0,0,
2021-08-23 17:26,34,-75,0,0,0,0,
2021-08-23 17:26,35,-71,0,0,0,0,
2021-08-23 17:26,36,-73,0,0,0,0,
2021-08-23 17:26,37,-69,0,0,0,0,
2021-08-23 17:26,38,0,0,0,0,0,
2021-08-23 17:26,39,-66,0,0,0,0,
2021-08-23 17:26,40,-78,0,0,0,0,
2021-08-23 17:26,41,-51,0,0,0,0,
2021-08-23 17:26,42,-58,0,0,0,0,
2021-08-23 17:26,43,-60,0,0,0,0,
2021-08-23 17:26,44,-58,0,0,0,0,
2021-08-23 17:26,45,-68,0,0,0,0,
2021-08-23 17:26,46,-62,0,0,0,0,
2021-08-23 17:26,47,0,0,0,0,0,
2021-08-23 17:26,48,-63,0,0,0,0,
2021-08-23 17:26,49,-71,0,0,0,0,
2021-08-23 17:26,50,-72,0,0,0,0,
2021-08-23 17:26,51,-71,0,0,0,0,
2021-08-23 17:26,52,-79,0,0,0,0,
2021-08-23 17:26,53,0,0,0,0,69,
2021-08-23 17:26,54,0,0,0,0,0,
2021-08-23 17:26,55,-68,0,0,0,0,
2021-08-23 17:26,56,-69,0,0,0,0,
2021-08-23 17:26,57,-70,0,0,0,0,
2021-08-23 17:26,58,0,0,0,0,0,
2021-08-23 17:26,59,0,0,0,0,0,
2021-08-23 17:26,60,0,0,0,0,0,
26:13.5,21,0,63,96,53,0,
26:13.5,22,0,0,0,0,0,
26:13.5,23,0,0,0,0,0,
26:13.5,24,0,0,0,0,0,
26:13.5,25,0,0,0,0,0,
26:13.5,26,0,0,0,0,0,
26:13.5,27,0,0,0,0,0,
26:13.5,28,0,0,0,0,0,
26:13.5,29,0,0,0,0,0,
26:13.5,30,0,0,0,0,0,
26:13.5,31,0,0,0,0,0,
26:13.5,32,0,0,0,0,0,
26:13.5,33,0,0,0,51,0,
26:13.5,34,0,0,0,0,0,
26:13.5,35,0,0,0,0,0,
26:13.5,36,0,0,0,0,0,
26:13.5,37,0,0,0,0,0,
26:13.5,38,0,0,0,0,0,
26:13.5,39,0,0,0,0,0,
26:13.5,40,0,0,0,0,0,
26:13.5,41,0,0,0,0,0,
26:13.5,42,0,0,0,0,0,
26:13.5,43,0,0,0,0,0,
26:13.5,44,0,0,0,0,0,
26:13.5,45,0,0,0,0,0,
26:13.5,46,0,0,0,0,0,
26:13.5,47,0,0,0,0,0,
26:13.5,48,0,0,0,0,0,
26:13.5,49,0,0,0,0,0,
26:13.5,50,0,0,0,0,0,
26:13.5,51,0,0,0,0,0,
26:13.5,52,0,0,0,0,0,
26:13.5,53,0,0,0,0,69,
26:13.5,54,0,0,0,0,0,
26:13.5,55,0,0,0,0,0,
26:13.5,56,0,0,0,0,0,
26:13.5,57,0,0,0,0,0,
26:13.5,58,0,0,0,0,0,
26:13.5,59,0,0,0,0,0,
26:13.5,60,0,0,0,0,0,
2021-08-23 17:26,21,-64,148,471,116,62,
2021-08-23 17:26,22,0,0,0,0,0,
2021-08-23 17:26,23,-59,0,0,0,0,
2021-08-23 17:26,24,-61,0,0,0,0,
2021-08-23 17:26,25,0,0,0,0,0,
2021-08-23 17:26,26,0,0,0,0,0,
2021-08-23 17:26,27,0,0,0,0,0,
2021-08-23 17:26,28,-63,0,0,0,0,
2021-08-23 17:26,29,0,0,0,0,0,
2021-08-23 17:26,30,-71,0,0,0,0,
2021-08-23 17:26,31,0,0,0,0,0,
2021-08-23 17:26,32,0,0,0,0,0,
2021-08-23 17:26,33,-70,0,0,51,0,
2021-08-23 17:26,34,-75,0,0,0,0,
2021-08-23 17:26,35,-71,0,0,0,0,
2021-08-23 17:26,36,-73,0,0,0,0,
2021-08-23 17:26,37,-69,0,0,0,0,
2021-08-23 17:26,38,0,0,0,0,0,
2021-08-23 17:26,39,-66,0,0,0,0,
2021-08-23 17:26,40,-78,0,0,0,0,
2021-08-23 17:26,41,-51,0,0,0,0,
2021-08-23 17:26,42,-58,0,0,0,0,
2021-08-23 17:26,43,-60,0,0,0,0,
2021-08-23 17:26,44,-58,0,0,0,0,
2021-08-23 17:26,45,-68,0,0,0,0,
2021-08-23 17:26,46,-62,0,0,0,0,
2021-08-23 17:26,47,0,0,0,0,0,
2021-08-23 17:26,48,-63,0,0,0,0,
2021-08-23 17:26,49,-71,0,0,0,0,
2021-08-23 17:26,50,-72,0,0,0,0,
2021-08-23 17:26,51,-71,0,0,0,0,
2021-08-23 17:26,52,-79,0,0,0,0,
2021-08-23 17:26,53,0,0,0,0,70,
2021-08-23 17:26,54,0,0,0,0,0,
2021-08-23 17:26,55,-68,0,0,0,0,
2021-08-23 17:26,56,-69,0,0,0,0,
2021-08-23 17:26,57,-70,0,0,0,0,
2021-08-23 17:26,58,0,0,0,0,0,
2021-08-23 17:26,59,0,0,0,0,0,
2021-08-23 17:26,60,0,0,0,0,0,
26:14.5,21,0,0,0,0,0,
26:14.5,22,0,0,0,0,0,
26:14.5,23,0,0,0,0,0,
26:14.5,24,0,0,0,0,0,
26:14.5,25,0,0,0,66,0,
26:14.5,26,0,0,0,0,0,
26:14.5,27,0,0,0,0,0,
26:14.5,28,0,0,0,0,0,
26:14.5,29,0,0,0,0,0,
26:14.5,30,0,0,0,0,0,
26:14.5,31,0,0,0,0,0,
26:14.5,32,0,0,0,0,0,
26:14.5,33,0,0,0,0,0,
26:14.5,34,0,0,0,0,0,
26:14.5,35,0,0,0,0,0,
26:14.5,36,0,0,0,0,0,
26:14.5,37,0,0,0,0,0,
26:14.5,38,0,0,0,0,0,
26:14.5,39,0,0,0,0,0,
26:14.5,40,0,0,0,0,0,
26:14.5,41,0,0,0,0,0,
26:14.5,42,0,0,0,0,0,
26:14.5,43,0,0,0,0,0,
26:14.5,44,0,0,0,0,0,
26:14.5,45,0,0,0,0,0,
26:14.5,46,0,0,0,0,0,
26:14.5,47,0,0,0,0,0,
26:14.5,48,0,0,0,0,0,
26:14.5,49,0,0,0,0,0,
26:14.5,50,0,0,0,0,0,
26:14.5,51,0,0,0,0,0,
26:14.5,52,0,0,0,0,0,
26:14.5,53,0,0,0,0,70,
26:14.5,54,0,0,0,0,0,
26:14.5,55,0,0,0,0,0,
26:14.5,56,0,0,0,0,0,
26:14.5,57,0,0,0,0,0,
26:14.5,58,0,0,0,0,0,
26:14.5,59,0,0,0,0,0,
26:14.5,60,0,0,0,0,0,
2021-08-23 17:26,21,-64,999,999,999,999,
2021-08-23 17:26,22,0,0,0,0,0,
2021-08-23 17:26,23,-59,0,0,0,0,
2021-08-23 17:26,24,-61,0,0,0,54,
2021-08-23 17:26,25,0,0,0,80,0,
2021-08-23 17:26,26,0,0,0,0,0,
2021-08-23 17:26,27,0,0,0,0,0,
2021-08-23 17:26,28,-63,0,0,0,0,
2021-08-23 17:26,29,0,0,0,0,0,
2021-08-23 17:26,30,-71,0,0,0,0,
2021-08-23 17:26,31,0,0,0,0,0,
